condition,n_samples,mean_progress_logit_delta,median_progress_logit_delta,mean_raw_action_readout_shift_l2,median_raw_action_readout_shift_l2,mean_raw_activation_delta_l2,median_raw_activation_delta_l2
patch_top20_high_progress_mean,329,-0.004250473221052792,0.005034381825276268,0.0013288494665175676,0.00035516981733962893,0.0878368392586708,0.03208065778017044
zero_top20_progress_features,329,-0.009284855046329048,0.0,0.0009840100537985563,0.0,0.05683419480919838,0.0
zero_bottom20_active_features,329,0.0,0.0,0.00023049562878441066,0.0,0.01810421049594879,0.0
zero_random20_active_features_trial00,329,0.0017902181936058474,0.0,0.0033206380903720856,0.0,0.13103614747524261,0.0
zero_random20_active_features_trial01,329,-0.00978021188265618,0.0,0.005944871809333563,0.0,0.25436216592788696,0.0
zero_random20_active_features_trial02,329,-0.02581098220285401,0.0,0.009720771573483944,0.0,0.3258665204048157,0.0
zero_random20_active_features_trial03,329,0.016404423287747376,0.0,0.004957931581884623,0.0,0.22792761027812958,0.0
zero_random20_active_features_trial04,329,0.022051250775032206,0.0,0.005474155768752098,0.0,0.4009440243244171,0.0
zero_random20_active_features_trial05,329,0.019270259701613987,0.0,0.00881851278245449,0.0,0.2631443440914154,0.0
zero_random20_active_features_trial06,329,0.021290508745478734,0.0,0.011957857757806778,0.0,0.3785680830478668,0.0
zero_random20_active_features_trial07,329,-0.01895580146551217,0.0,0.006284407805651426,0.0,0.33231064677238464,0.0
zero_random20_active_features_trial08,329,0.022544313302760344,0.0,0.004605224821716547,0.0,0.2549781799316406,0.0
zero_random20_active_features_trial09,329,0.025459017588616958,0.0,0.005880409386008978,0.0,0.30491048097610474,0.0
zero_random20_active_features_trial10,329,-0.019689000817429574,0.0,0.005349518731236458,0.0,0.3335234522819519,0.0
zero_random20_active_features_trial11,329,-0.02368344136837814,0.0,0.005682586692273617,0.0,0.22480987012386322,0.0
zero_random20_active_features_trial12,329,-0.009694085988531838,0.0,0.006571571808308363,0.0,0.3113214671611786,0.0
zero_random20_active_features_trial13,329,0.01660743933580628,0.0,0.005580157972872257,0.0,0.24928037822246552,0.0
zero_random20_active_features_trial14,329,-0.025017023292085726,0.0,0.006316064856946468,0.0,0.2514953911304474,0.0
zero_random20_active_features_trial15,329,0.015667080623870587,0.0,0.006783450488001108,0.0,0.26635870337486267,0.0
zero_random20_active_features_trial16,329,0.017820358351282643,0.0,0.004387590568512678,0.0,0.2838442623615265,0.0
zero_random20_active_features_trial17,329,0.01486119906262573,0.0,0.004977610893547535,0.0,0.21562568843364716,0.0
zero_random20_active_features_trial18,329,0.007930582258026233,0.0,0.009096489287912846,0.0,0.3831007480621338,0.0
zero_random20_active_features_trial19,329,-0.03891306256449615,0.0,0.0065581416711211205,0.0,0.356981486082077,0.0
zero_random20_active_features_trial20,329,0.014690052044676058,0.0,0.006910969037562609,0.0,0.36582738161087036,0.0
zero_random20_active_features_trial21,329,-0.012555693248341633,0.0,0.005834328942000866,0.0,0.2706091105937958,0.0
zero_random20_active_features_trial22,329,-0.0008552771534455785,0.0,0.004618457518517971,0.0,0.2666856050491333,0.0
zero_random20_active_features_trial23,329,-0.03322360603438296,0.0,0.0069042774848639965,0.0,0.40017077326774597,0.0
zero_random20_active_features_trial24,329,-0.03744469598516246,0.0,0.004769787658005953,0.0,0.3188593089580536,0.0
zero_random20_active_features_trial25,329,-0.0030312652174129895,0.0,0.00856011826545,0.0,0.30542799830436707,0.0
zero_random20_active_features_trial26,329,0.012362145940332562,0.0,0.00552717549726367,0.0,0.293069452047348,0.0
zero_random20_active_features_trial27,329,-0.019050833331583958,0.0,0.005392764694988728,0.0,0.2880484163761139,0.0
zero_random20_active_features_trial28,329,0.013849696034089814,0.0,0.002801168244332075,0.0,0.15932472050189972,0.0
zero_random20_active_features_trial29,329,-0.006588706386108548,0.0,0.005401324480772018,0.0,0.29251793026924133,0.0
