dictionary,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,freq_low_progress,freq_high_progress,direction,adjusted_p,significant,composite_score
16K_d16384_k32,9998,28839.5,9.48212694443134e-37,-0.6494323543710143,0.6494323543710143,0.010496914386749268,0.0002611253294162452,0.6737967914438503,0.0427807486631016,higher_in_low_progress,1.1654346121422146e-33,True,21.38808829300305
16K_d16384_k32,3154,28690.0,1.2391649251910842e-36,-0.6408819239898196,0.6408819239898196,0.01240611169487238,0.00021277334599290043,0.6577540106951871,0.03208556149732621,higher_in_low_progress,1.1654346121422146e-33,True,21.106492590686543
16K_d16384_k32,11471,6802.0,4.710581372962325e-32,0.6109697160342018,0.6109697160342018,0.00075532280607149,0.009252140298485756,0.0748663101604278,0.6684491978609626,higher_in_high_progress,2.9535345208473776e-29,True,17.430757015501953
16K_d16384_k32,15966,7253.0,4.9899691399887995e-30,0.5851754411049788,0.5851754411049788,0.00045285889063961804,0.008885120041668415,0.0855614973262032,0.6363636363636364,higher_in_high_progress,2.3465329880797327e-27,True,15.582972323331584
16K_d16384_k32,10609,7388.5,6.343253515044583e-29,0.5774257199233607,0.5774257199233607,0.00126520951744169,0.011282430961728096,0.0855614973262032,0.6524064171122995,higher_in_high_progress,2.386331972359772e-26,True,14.794957204228092
16K_d16384_k32,1972,7587.0,1.4372455723475483e-28,0.5660728073436472,0.5660728073436472,0.0008266499498859048,0.008944489993155003,0.08021390374331551,0.6256684491978609,higher_in_high_progress,4.5057648693095637e-26,True,14.347812406874642
16K_d16384_k32,9215,7568.0,1.2347410144888016e-27,0.5671594841145013,0.5671594841145013,0.0021099925506860018,0.014447519555687904,0.09090909090909091,0.6631016042780749,higher_in_high_progress,3.3179254975049083e-25,True,13.883572653747795
16K_d16384_k32,2030,7735.0,2.2839211229630398e-26,0.5576081672338357,0.5576081672338357,0.0006746102590113878,0.004518806468695402,0.10160427807486631,0.6737967914438503,higher_in_high_progress,4.773395146992753e-24,True,13.004076318346332
16K_d16384_k32,7723,7697.0,1.6816124331390327e-25,0.5597815207755441,0.5597815207755441,0.0005897454102523625,0.003355712164193392,0.17647058823529413,0.6631016042780749,higher_in_high_progress,2.635927488945434e-23,True,12.639344205906514
16K_d16384_k32,11070,7862.0,6.420333290247557e-26,0.5503445909233893,0.5503445909233893,0.0016180003294721246,0.008838456124067307,0.0962566844919786,0.6684491978609626,higher_in_high_progress,1.0978769926323323e-23,True,12.63560709060671
16K_d16384_k32,1457,8162.0,1.3211515182292246e-26,0.5331865366467443,0.5331865366467443,0.0004597413062583655,0.006325921975076199,0.06951871657754011,0.5882352941176471,higher_in_high_progress,3.106357507236464e-24,True,12.534015040807777
16K_d16384_k32,11183,7565.5,6.415106744745189e-25,0.5673024679001402,0.5673024679001402,0.0014941907720640302,0.007229205686599016,0.21390374331550802,0.7165775401069518,higher_in_high_progress,8.6191541334755e-23,True,12.517265358755724
