feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs
robust20_goal1_all_alpha1p0_start20_n128,0,1215,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,1,3504,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,2,9712,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,3,1369,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,4,15198,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,5,11644,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,6,11836,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,7,4932,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,8,4135,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,9,5678,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,10,1219,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,11,12441,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,12,6638,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,13,665,6.711541271624011e-05,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,14,3236,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,15,13874,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,16,11058,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,17,13576,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,18,6629,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128,19,13316,0.0,1.0,calibrated_positive_robust20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
