feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs
robust20_goal1_all_alpha1p0_start20_n128_random03,0,9700,8.025185832564438e-05,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,1,4781,0.00022265613875924282,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,2,7218,0.0007326656598896524,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,3,5812,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,4,9588,4.5658661959004805e-05,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,5,6952,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,6,246,0.0003330572060045337,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,7,13416,0.00016759431990670214,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,8,5759,0.0009696756135971118,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,9,7770,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,10,12864,1.7922522281022435e-05,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,11,1757,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,12,15603,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,13,13550,1.6953329241928878e-05,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,14,9724,0.0005102981103554251,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,15,2988,0.0025085973687828523,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,16,12193,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,17,1131,0.0009643244581984219,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,18,4778,0.0014605391434428542,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
robust20_goal1_all_alpha1p0_start20_n128_random03,19,2352,0.002606990950102391,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
