feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
robust20_goal1_mild_alpha1p0_start0_n128_random02,0,11059,0.0007914209459474971,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,1,536,0.00015508675982647542,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,2,13835,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,3,1167,2.299890390293491e-05,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,4,1048,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,5,1187,0.0013523148727618121,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,6,3515,0.0011221091200741941,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,7,15883,0.00012809083607784707,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,8,2800,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,9,4085,0.00021064064321033423,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,10,8466,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,11,10528,0.0014366147750839186,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,12,13347,0.000601927373797338,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,13,9700,8.025185832564438e-05,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,14,11953,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,15,2844,0.00016124446174119734,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,16,9512,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,17,7031,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,18,11292,0.0,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
robust20_goal1_mild_alpha1p0_start0_n128_random02,19,9672,0.00011545399771654653,1.0,calibrated_positive_robust20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
