feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs
submitted20_goal1_all_alpha1p0_start20_n160,0,10609,0.011282430926865721,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,1,11471,0.009252140228761039,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,2,1972,0.00894449008778133,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,3,9215,0.014447520218072376,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,4,11070,0.008838456151459116,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,5,3154,0.0002127733519848643,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,6,11183,0.007229206167201272,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,7,9998,0.00026112531540905225,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,8,15966,0.008885119432822474,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,9,1528,0.006074793060325095,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,10,5981,0.000629632412530676,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,11,15118,0.006216161149768076,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,12,14915,0.005680670191030821,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,13,1457,0.006325921712363517,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,14,8150,0.00025775771149817456,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,15,13328,0.0008597712774566753,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,16,15790,0.0003695259602830023,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,17,15872,0.005843030515420693,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,18,3212,0.000155054371465335,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160,19,15030,0.006775799701687536,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,20,1,goal:1
