feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs
submitted20_goal1_all_alpha1p0_start20_n160_random05,0,1039,0.0006479492303940144,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,1,8041,0.0005128236791308188,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,2,6792,0.0,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,3,2535,0.0,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,4,2201,1.591984381809572e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,5,2328,0.0003463599250656823,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,6,5850,0.003535728305229587,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,7,11014,0.0004321999491794952,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,8,15963,0.0004829120309276368,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,9,10311,0.002119417765481583,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,10,16176,5.665347403423262e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,11,11097,6.65253102978599e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,12,1297,0.0,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,13,14253,0.0019266730010071185,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,14,13399,0.0006773775831900747,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,15,1482,0.0003167914729664957,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,16,2014,0.0046998364776173664,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,17,4852,0.0,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,18,15178,1.0088718630731544e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
submitted20_goal1_all_alpha1p0_start20_n160_random05,19,11691,0.00023901455582462993,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,20,1,goal:1
