feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,trigger_end_step
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,0,4166,0.0005614636185763235,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,1,9359,0.00033342173474935,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,2,16035,0.0019409520611326208,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,3,6698,0.0002524868210399091,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,4,1894,0.00010360296402265908,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,5,5854,0.00018989714734097044,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,6,6628,-0.0007737814106375826,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,7,8086,-0.00012215564244073005,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,8,7219,8.53183857329607e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,9,3753,0.0082847710878135,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,10,6723,0.0021755402125816555,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,11,13558,-0.00018158984086650632,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,12,15261,3.2295892513132304e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,13,2201,2.387976572714358e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,14,2346,0.0001607211947909251,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,15,8472,0.0008971856391545339,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,16,12282,-0.0018430017607216787,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,17,14967,3.530213454947433e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,18,11375,0.00024393301477087782,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_random01,19,10033,0.0003238461362596377,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,0,goal:1,40
