feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
submitted20_goal1_mild_alpha1p5_start0_n128,0,10609,0.016291041681069814,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,1,11471,0.01350054892718807,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,2,1972,0.01300341015517269,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,3,9215,0.020616284031221684,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,4,11070,0.012448684114434855,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,5,3154,-0.0058838960454415615,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,6,11183,0.010096713889982841,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,7,9998,-0.00485676870604149,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,8,15966,0.01310124969418669,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,9,1528,0.00867341611880486,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,10,5981,-0.005637806200890496,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,11,15118,0.008786988677456932,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,12,14915,0.00800540307250348,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,13,1457,0.009259011898996554,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,14,8150,-0.002477706449210913,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,15,13328,-0.0023233935630377293,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,16,15790,-0.002920909482178915,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,17,15872,0.008524790983323344,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,18,3212,-0.0028087215897761595,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128,19,15030,0.009533284807871528,1.0,calibrated_positive_submitted20,set_progress_features_to_calibrated_high_mean,0,always,0,1,goal:1,mild
