feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
submitted20_goal1_mild_alpha1p5_start0_n128_random05,0,1039,0.0009416467734278727,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,1,8041,-0.0009320116319250318,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,2,6792,-0.00033925621854987895,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,3,2535,-7.236428137988101e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,4,2201,2.387976572714358e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,5,2328,0.00030022457784867904,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,6,5850,0.005233308146608075,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,7,11014,0.0006419536365036636,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,8,15963,0.0002320736894423878,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,9,10311,0.0030952598550979408,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,10,16176,1.691282853822726e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,11,11097,-0.0023806497098549234,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,12,1297,-0.0018252600382834172,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,13,14253,0.0026804181581542323,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,14,13399,0.0009680152291750672,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,15,1482,0.00047518720944974354,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,16,2014,0.006763429173024337,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,17,4852,-9.438801646471633e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,18,15178,-3.1922268432211514e-05,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
submitted20_goal1_mild_alpha1p5_start0_n128_random05,19,11691,0.000318418792324427,1.0,calibrated_positive_submitted20_matched_random,set_progress_features_to_calibrated_high_mean,1,always,0,1,goal:1,mild
