feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,0,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,1,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,2,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,3,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,4,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,5,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,6,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,7,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,8,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,9,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,10,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,11,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,12,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,13,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,14,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,15,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,16,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,17,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,18,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,19,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,20,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,21,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,22,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,23,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,24,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,25,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,26,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,27,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,28,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,29,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,30,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,31,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,32,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,33,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,34,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,35,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,36,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,37,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,38,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,39,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,40,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,41,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,42,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,43,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,44,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,45,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,46,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,47,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,48,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,49,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,50,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
