feature_set,is_random_control,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high,success_wilcoxon_p,any_violation_wilcoxon_p,result_file
robust20_goal1_all_alpha1p0_start20_n128,False,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.20483064965810627,0.15903922717552632,0.0340742780972505,0.04942194337490946,0.0,0.0,-0.578125,-0.40625,0.18858516216278076,0.22105076909065247,,2.0670658180782593e-15,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_all_alpha1p0_start20_n128/robust20_goal1_all_alpha1p0_start20_n128_robust20_goal1_all_alpha1p0_start20_n128.json
robust20_goal1_all_alpha1p0_start20_n128_random01,True,128,0.8828125,1.0,0.1171875,1.0,0.828125,-0.171875,0.20597142720362172,0.16501010110368952,0.03866598645981867,0.03803518129279837,0.0703125,0.171875,-0.2421875,-0.109375,0.19241254031658173,0.21848098933696747,0.00010751117672950055,2.7265046561554873e-06,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_all_alpha1p0_start20_n128_random01/robust20_goal1_all_alpha1p0_start20_n128_random01_robust20_goal1_all_alpha1p0_start20_n128_random01.json
robust20_goal1_all_alpha1p0_start20_n128_random02,True,128,0.8828125,1.0,0.1171875,1.0,1.0,0.0,0.1918446189520182,0.14904211310204118,0.03713770730246324,0.03843587829032913,0.0625,0.1796875,0.0,0.0,0.1756802201271057,0.20685975253582,0.00010751117672950055,,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_all_alpha1p0_start20_n128_random02/robust20_goal1_all_alpha1p0_start20_n128_random02_robust20_goal1_all_alpha1p0_start20_n128_random02.json
robust20_goal1_all_alpha1p0_start20_n128_random03,True,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.18263972963904962,0.14810567925451323,0.03574738139286637,0.033530303480802104,0.0,0.0,-0.578125,-0.40625,0.16837100684642792,0.19711720943450928,,2.0670658180782593e-15,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_all_alpha1p0_start20_n128_random03/robust20_goal1_all_alpha1p0_start20_n128_random03_robust20_goal1_all_alpha1p0_start20_n128_random03.json
robust20_goal1_all_alpha1p0_start20_n128_random04,True,128,0.8828125,0.8828125,0.0,1.0,0.484375,-0.515625,0.2224132125847973,0.1763814971782267,0.03605209992383607,0.050950489880051464,0.0,0.0,-0.6015625,-0.4296875,0.20569925010204315,0.24038858711719513,,4.509229801533813e-16,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_all_alpha1p0_start20_n128_random04/robust20_goal1_all_alpha1p0_start20_n128_random04_robust20_goal1_all_alpha1p0_start20_n128_random04.json
robust20_goal1_all_alpha1p0_start20_n128_random05,True,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.19973549095448107,0.1525502898148261,0.03820598067250103,0.04502833703008946,0.0,0.0,-0.578125,-0.40625,0.19166521728038788,0.20757785439491272,,2.0670658180782593e-15,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_all_alpha1p0_start20_n128_random05/robust20_goal1_all_alpha1p0_start20_n128_random05_robust20_goal1_all_alpha1p0_start20_n128_random05.json
robust20_goal1_all_alpha1p0_start20_n128_random07,True,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.20507527969311923,0.1752527926582843,0.03444422846951056,0.030582163337385282,0.0,0.0,-0.578125,-0.40625,0.19058197736740112,0.21980656683444977,,2.0670658180782593e-15,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_all_alpha1p0_start20_n128_random07/robust20_goal1_all_alpha1p0_start20_n128_random07_robust20_goal1_all_alpha1p0_start20_n128_random07.json
robust20_goal1_mild_alpha1p0_start0_n128,False,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.24334680894389749,0.1791819264763035,0.03368072205921635,0.06555265295901336,0.0,0.0,-0.640625,-0.46875,0.2360958307981491,0.2505977749824524,,3.572248887669709e-17,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128/robust20_goal1_mild_alpha1p0_start0_n128_robust20_goal1_mild_alpha1p0_start0_n128.json
robust20_goal1_mild_alpha1p0_start0_n128_random00,True,128,1.0,1.0,0.0,1.0,1.0,0.0,0.25991818704642355,0.20531966676935554,0.045115999557310715,0.05548573212581687,0.0,0.0,0.0,0.0,0.253747820854187,0.266088604927063,,,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random00/robust20_goal1_mild_alpha1p0_start0_n128_random00_robust20_goal1_mild_alpha1p0_start0_n128_random00.json
robust20_goal1_mild_alpha1p0_start0_n128_random01,True,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.30601335037499666,0.2551941134734079,0.0399493329168763,0.05273528724501375,0.0,0.0,-0.640625,-0.46875,0.28062599897384644,0.33140063285827637,,3.572248887669709e-17,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random01/robust20_goal1_mild_alpha1p0_start0_n128_random01_robust20_goal1_mild_alpha1p0_start0_n128_random01.json
robust20_goal1_mild_alpha1p0_start0_n128_random02,True,128,1.0,1.0,0.0,1.0,1.0,0.0,0.1827963242540136,0.13734382280381396,0.034450349397957325,0.04197838332038373,0.0,0.0,0.0,0.0,0.1826065182685852,0.18298614025115967,,,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random02/robust20_goal1_mild_alpha1p0_start0_n128_random02_robust20_goal1_mild_alpha1p0_start0_n128_random02.json
robust20_goal1_mild_alpha1p0_start0_n128_random03,True,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.2124311935622245,0.18129602435510606,0.04783872817642987,0.01984015732887201,0.0,0.0,-0.640625,-0.46875,0.20919853448867798,0.21566380560398102,,3.572248887669709e-17,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random03/robust20_goal1_mild_alpha1p0_start0_n128_random03_robust20_goal1_mild_alpha1p0_start0_n128_random03.json
robust20_goal1_mild_alpha1p0_start0_n128_random04,True,128,1.0,1.0,0.0,1.0,0.0,-1.0,0.28362647083122283,0.245508951600641,0.03981290076626465,0.03750214207684621,0.0,0.0,-1.0,-1.0,0.27187299728393555,0.29537999629974365,,1.1224297172982608e-29,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random04/robust20_goal1_mild_alpha1p0_start0_n128_random04_robust20_goal1_mild_alpha1p0_start0_n128_random04.json
robust20_goal1_mild_alpha1p0_start0_n128_random05,True,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.20541392476297915,0.1672304462408647,0.036930274771293625,0.03247233634465374,0.0,0.0,-0.640625,-0.46875,0.2053467333316803,0.20548105239868164,,3.572248887669709e-17,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random05/robust20_goal1_mild_alpha1p0_start0_n128_random05_robust20_goal1_mild_alpha1p0_start0_n128_random05.json
robust20_goal1_mild_alpha1p0_start0_n128_random06,True,128,1.0,1.0,0.0,1.0,0.0,-1.0,0.20889328606426716,0.1797109170584008,0.03824653511401266,0.02269283856730908,0.0,0.0,-1.0,-1.0,0.20871038734912872,0.20907628536224365,,1.1224297172982608e-29,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random06/robust20_goal1_mild_alpha1p0_start0_n128_random06_robust20_goal1_mild_alpha1p0_start0_n128_random06.json
robust20_goal1_mild_alpha1p0_start0_n128_random07,True,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.23760454368311912,0.1938161412253976,0.0404830158513505,0.04262104669760447,0.0,0.0,-0.640625,-0.46875,0.23579606413841248,0.23941299319267273,,3.572248887669709e-17,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/robust20_goal1_mild_alpha1p0_start0_n128_random07/robust20_goal1_mild_alpha1p0_start0_n128_random07_robust20_goal1_mild_alpha1p0_start0_n128_random07.json
