feature_set,suite,task_idx,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high
robust20_goal1_all_alpha1p0_start20_n128,goal,1,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.20483064965810627,0.15903922717552632,0.0340742780972505,0.04942194337490946,0.0,0.0,-0.578125,-0.40625,0.1888156533241272,0.2208155244588852
robust20_goal1_all_alpha1p0_start20_n128_random01,goal,1,128,0.8828125,1.0,0.1171875,1.0,0.828125,-0.171875,0.20597142720362172,0.16501010110368952,0.03866598645981867,0.03803518129279837,0.0625,0.1796875,-0.234375,-0.109375,0.19280557334423065,0.21813957393169403
robust20_goal1_all_alpha1p0_start20_n128_random02,goal,1,128,0.8828125,1.0,0.1171875,1.0,1.0,0.0,0.1918446189520182,0.14904211310204118,0.03713770730246324,0.03843587829032913,0.0625,0.171875,0.0,0.0,0.17652836441993713,0.20613029599189758
robust20_goal1_all_alpha1p0_start20_n128_random03,goal,1,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.18263972963904962,0.14810567925451323,0.03574738139286637,0.033530303480802104,0.0,0.0,-0.578125,-0.40625,0.16869612038135529,0.19650155305862427
robust20_goal1_all_alpha1p0_start20_n128_random04,goal,1,128,0.8828125,0.8828125,0.0,1.0,0.484375,-0.515625,0.2224132125847973,0.1763814971782267,0.03605209992383607,0.050950489880051464,0.0,0.0,-0.6015625,-0.4296875,0.20483584702014923,0.24040456116199493
robust20_goal1_all_alpha1p0_start20_n128_random05,goal,1,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.19973549095448107,0.1525502898148261,0.03820598067250103,0.04502833703008946,0.0,0.0,-0.578125,-0.40625,0.19184960424900055,0.20768702030181885
robust20_goal1_all_alpha1p0_start20_n128_random07,goal,1,128,0.8828125,0.8828125,0.0,1.0,0.5078125,-0.4921875,0.20507527969311923,0.1752527926582843,0.03444422846951056,0.030582163337385282,0.0,0.0,-0.578125,-0.40625,0.1906345933675766,0.21963997185230255
robust20_goal1_mild_alpha1p0_start0_n128,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.24334680894389749,0.1791819264763035,0.03368072205921635,0.06555265295901336,0.0,0.0,-0.640625,-0.46875,0.2360958307981491,0.2505977749824524
robust20_goal1_mild_alpha1p0_start0_n128_random00,goal,1,128,1.0,1.0,0.0,1.0,1.0,0.0,0.25991818704642355,0.20531966676935554,0.045115999557310715,0.05548573212581687,0.0,0.0,0.0,0.0,0.253747820854187,0.266088604927063
robust20_goal1_mild_alpha1p0_start0_n128_random01,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.30601335037499666,0.2551941134734079,0.0399493329168763,0.05273528724501375,0.0,0.0,-0.640625,-0.46875,0.28062599897384644,0.33140063285827637
