feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
submitted_high13_goal1_clean_lowmean_n96_random01,0,10462,0.0008694021788271288,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,1,2768,0.0030941743164616896,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,2,11347,0.0011438121433982342,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,3,9998,0.010496913358310137,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,4,10555,0.0010426741250277643,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,5,7505,0.003322124697845708,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,6,12270,0.0027658221253348153,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,7,16035,0.005089977636614558,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,8,14525,0.0007443084657929278,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,9,15394,0.001390545249214377,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,10,6170,0.002721099418284163,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,11,7052,0.003487657679663202,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random01,12,12567,0.0016633611954350038,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
