feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
submitted_high13_goal1_clean_zero_n96,0,10609,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,1,11471,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,2,1972,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,3,9215,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,4,11070,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,5,11183,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,6,15966,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,7,1528,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,8,15118,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,9,14915,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,10,1457,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,11,15872,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
submitted_high13_goal1_clean_zero_n96,12,15030,0.0,1.0,closed_loop_necessity_submitted_high_progress,set_high_progress_features_to_zero,0,always,0,1,goal:1,clean
