feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
submitted_high13_goal1_object0_clean_zero_n120_random00,0,5982,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,1,11347,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,2,3099,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,3,7505,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,4,13149,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,5,10555,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,6,7052,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,7,15394,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,8,14525,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,9,2030,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,10,6170,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,11,16035,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
submitted_high13_goal1_object0_clean_zero_n120_random00,12,10462,0.0,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_zero,1,always,0,1,"goal:1,object:0",clean
