feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,0,0,1,1,1,1,1,0.28192731738090515,0.1943320780992508,0.029902774840593338,0.09090909361839294,0.7674418604651163,1,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,1,1,1,1,1,1,1,0.2126295417547226,0.17748034000396729,0.04108963906764984,0.032786883413791656,0.7530864197530864,0,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,2,1,1,1,1,1,1,0.200308695435524,0.16752897202968597,0.0415085144340992,0.02777777798473835,0.782608695652174,0,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,3,1,1,1,1,1,1,0.2126295417547226,0.17748034000396729,0.04108963906764984,0.032786883413791656,0.7530864197530864,0,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,4,1,1,1,1,1,1,0.2126295417547226,0.17748034000396729,0.04108963906764984,0.032786883413791656,0.7530864197530864,0,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,5,1,1,1,0,1,0,0.1248258575797081,0.09263037145137787,0.02463008277118206,0.0317460335791111,0.7590361445783133,0,-1,-1
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,6,1,1,1,1,1,1,0.200308695435524,0.16752897202968597,0.0415085144340992,0.02777777798473835,0.782608695652174,0,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,7,1,1,1,0,1,0,0.1248258575797081,0.09263037145137787,0.02463008277118206,0.0317460335791111,0.7590361445783133,0,-1,-1
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,8,1,1,1,1,1,1,0.2126295417547226,0.17748034000396729,0.04108963906764984,0.032786883413791656,0.7530864197530864,0,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,9,0,1,1,1,1,1,0.28192731738090515,0.1943320780992508,0.029902774840593338,0.09090909361839294,0.7674418604651163,1,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,10,1,1,1,1,1,1,0.200308695435524,0.16752897202968597,0.0415085144340992,0.02777777798473835,0.782608695652174,0,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,11,0,1,1,1,1,1,0.28192731738090515,0.1943320780992508,0.029902774840593338,0.09090909361839294,0.7674418604651163,1,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,12,0,1,1,1,1,1,0.28192731738090515,0.1943320780992508,0.029902774840593338,0.09090909361839294,0.7674418604651163,1,0,0
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,13,1,1,1,0,1,0,0.1248258575797081,0.09263037145137787,0.02463008277118206,0.0317460335791111,0.7590361445783133,0,-1,-1
goal1_random13_lowmean_pulse20_120_00_n64,True,goal,1,clean,14,1,1,1,1,1,1,0.200308695435524,0.16752897202968597,0.0415085144340992,0.02777777798473835,0.782608695652174,0,0,0
