feature_set,suite,task_idx,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high
goal1_random13_lowmean_pulse20_120_00_n64,goal,1,64,0.765625,1.0,0.234375,1.0,0.78125,-0.21875,0.20639142720028758,0.16022570338100195,0.034978453593794256,0.04485104689956643,0.140625,0.34375,-0.328125,-0.125,0.1935403198003769,0.21905064582824707
goal1_random13_lowmean_pulse20_120_01_n64,goal,1,64,0.765625,0.765625,0.0,1.0,1.0,0.0,0.28182598133571446,0.21180589287541807,0.04118480545002967,0.08383817889261991,0.0,0.0,0.0,0.0,0.2499409019947052,0.3157469630241394
goal1_random13_lowmean_pulse20_120_02_n64,goal,1,64,0.765625,1.0,0.234375,1.0,0.78125,-0.21875,0.22785506094805896,0.1895476197823882,0.03964328012079932,0.03687914332840592,0.140625,0.34375,-0.328125,-0.125,0.2179398536682129,0.23815204203128815
goal1_random13_lowmean_pulse20_120_03_n64,goal,1,64,0.765625,1.0,0.234375,1.0,0.734375,-0.265625,0.22386061656288803,0.18063351418823004,0.040637260186485946,0.04328442260157317,0.140625,0.34375,-0.375,-0.15625,0.2154412716627121,0.2317880392074585
goal1_random13_lowmean_start20_00_n64,goal,1,64,0.765625,1.0,0.234375,1.0,0.78125,-0.21875,0.20639142720028758,0.16022570338100195,0.034978453593794256,0.04485104689956643,0.140625,0.34375,-0.328125,-0.125,0.19363698363304138,0.21936273574829102
goal1_random13_lowmean_start20_01_n64,goal,1,64,0.765625,0.765625,0.0,1.0,1.0,0.0,0.22730895155109465,0.18891828902997077,0.04068890673806891,0.03933344944380224,0.0,0.0,0.0,0.0,0.21596573293209076,0.23850572109222412
goal1_random13_lowmean_start20_02_n64,goal,1,64,0.765625,1.0,0.234375,1.0,0.78125,-0.21875,0.22785506094805896,0.1895476197823882,0.03964328012079932,0.03687914332840592,0.140625,0.34375,-0.328125,-0.125,0.21781225502490997,0.23776429891586304
goal1_random13_lowmean_start20_03_n64,goal,1,64,0.765625,1.0,0.234375,1.0,0.734375,-0.265625,0.22386061656288803,0.18063351418823004,0.040637260186485946,0.04328442260157317,0.140625,0.34375,-0.375,-0.171875,0.21549959480762482,0.23204834759235382
goal1_top13_highmean_pulse20_120_n64,goal,1,64,0.765625,0.765625,0.0,1.0,0.78125,-0.21875,0.3063855078071356,0.22051067650318146,0.04346099478425458,0.10256935120560229,0.0,0.0,-0.328125,-0.125,0.27306538820266724,0.34234294295310974
goal1_top13_highmean_start20_n64,goal,1,64,0.765625,0.765625,0.0,1.0,0.78125,-0.21875,0.2543347622267902,0.20384089066646993,0.043546828092075884,0.052130660391412675,0.0,0.0,-0.328125,-0.125,0.23854508996009827,0.26970210671424866
goal1_top13_lowmean_pulse20_120_n64,goal,1,64,0.765625,0.765625,0.0,1.0,0.5,-0.5,0.27204758557491004,0.17636657576076686,0.04012150957714766,0.10952548764180392,0.0,0.0,-0.625,-0.375,0.23940244317054749,0.3094983696937561
goal1_top13_lowmean_shuffled_values_00_n64,goal,1,64,0.765625,0.765625,0.0,1.0,0.734375,-0.265625,0.29694944678340107,0.19191599695477635,0.0444025166798383,0.1199603994609788,0.0,0.0,-0.375,-0.15625,0.24517510831356049,0.3521198630332947
goal1_top13_lowmean_shuffled_values_01_n64,goal,1,64,0.765625,0.765625,0.0,1.0,0.78125,-0.21875,0.21785081992857158,0.17205164209008217,0.03669009733130224,0.04528396180830896,0.0,0.0,-0.3128906488418579,-0.125,0.19101670384407043,0.2440694272518158
goal1_top13_lowmean_shuffled_values_02_n64,goal,1,64,0.765625,0.765625,0.0,1.0,0.78125,-0.21875,0.10485502681694925,0.08400117099517956,0.021931592607870698,0.020089286263100803,0.0,0.0,-0.3125,-0.125,0.08878037333488464,0.12048046290874481
goal1_top13_lowmean_start20_n64,goal,1,64,0.765625,0.765625,0.0,1.0,0.5,-0.5,0.21425591385923326,0.16495375195518136,0.040530177124310285,0.05018584954086691,0.0,0.0,-0.625,-0.375,0.20502257347106934,0.22417888045310974
goal1_top13_midmean_start20_n64,goal,1,64,0.765625,1.0,0.234375,1.0,0.734375,-0.265625,0.19282607128843665,0.15918413666076958,0.0362311891221907,0.030285472923424095,0.140625,0.34375,-0.375,-0.15625,0.18929502367973328,0.19644704461097717
