feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
goal1_top13_lowmean_start20_n64,0,10609,0.0012652094184575358,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,1,11471,0.0007553228319069727,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,2,1972,0.0008266499529986097,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,3,9215,0.002109992591773758,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,4,11070,0.001618000225507634,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,5,11183,0.0014941907216381315,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,6,15966,0.000452858910094046,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,7,1528,0.0008775469433655673,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,8,15118,0.0010745060943903675,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,9,14915,0.0010312044280855045,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,10,1457,0.0004597413390974428,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,11,15872,0.00047950957961539304,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
goal1_top13_lowmean_start20_n64,12,15030,0.0012608294893195536,1.0,submitted_same_features,set_to_low_progress_mean,0,after_step,20,1,goal:1,clean
