trial,control_type,auroc,pr_auc,selected_features
-1,submitted_top20,0.571497283838841,0.5376151414971628,"f10609,f11471,f1972,f9215,f11070,f3154,f11183,f9998,f15966,f1528,f5981,f15118,f14915,f1457,f8150,f13328,f15790,f15872,f3212,f15030"
0,matched_random20,0.6395144861928475,0.630232364451136,"f7823,f3573,f15433,f7696,f9306,f1918,f11957,f10313,f10983,f9876,f16329,f15449,f4182,f14130,f13312,f6065,f14609,f6075,f11438,f14650"
1,matched_random20,0.6670863512901766,0.6391155146262678,"f13564,f3906,f7831,f2309,f8673,f9392,f13189,f1967,f1746,f3629,f7851,f1851,f16008,f13655,f11277,f5189,f10738,f11459,f9597,f2468"
2,matched_random20,0.7481892258940697,0.7405343338786572,"f3259,f14175,f11096,f6633,f3904,f7965,f7851,f12948,f6556,f11384,f11477,f3629,f2379,f14339,f1913,f12627,f9760,f16050,f14161,f9631"
3,matched_random20,0.6501386373924853,0.589605194356455,"f6183,f13442,f14409,f14042,f5310,f5010,f12136,f10907,f15777,f4118,f434,f12865,f13562,f9108,f12858,f6917,f15727,f3562,f6834,f9609"
4,matched_random20,0.7533810547759167,0.7216913178829008,"f15421,f286,f9428,f6633,f813,f6434,f4386,f10846,f13591,f1846,f6428,f725,f15582,f12234,f7050,f4150,f9952,f641,f8829,f9115"
5,matched_random20,0.816036668175645,0.8195747276028531,"f16383,f13975,f384,f496,f1441,f15082,f13251,f4435,f4515,f16296,f14940,f12044,f1929,f7991,f15026,f10105,f15446,f1784,f14615,f13688"
6,matched_random20,0.7553615889542781,0.7029213164640777,"f13220,f14175,f15161,f1651,f6147,f15185,f13988,f4301,f4544,f10128,f15420,f6985,f3271,f8620,f11038,f8113,f11889,f9507,f15017,f10436"
7,matched_random20,0.6726318469895881,0.6056355530490731,"f4669,f286,f8976,f8521,f5202,f13558,f8409,f34,f10601,f6132,f12544,f1025,f9833,f11296,f3126,f6322,f1899,f8764,f14706,f5011"
8,matched_random20,0.7491087596197374,0.6776430003099819,"f7823,f6642,f7831,f9617,f2431,f10030,f5591,f1057,f9555,f1246,f5772,f4976,f11824,f16106,f8554,f14375,f9210,f8132,f13903,f5128"
9,matched_random20,0.6203315980081485,0.6030837577038406,"f13220,f6894,f13018,f7490,f4168,f6428,f1181,f14210,f9932,f4659,f13351,f2694,f4858,f6974,f9986,f15720,f12848,f15125,f1371,f4513"
10,matched_random20,0.6765504753282028,0.6008040302646226,"f3259,f12234,f9354,f496,f2240,f10707,f1241,f407,f3507,f2386,f13402,f284,f9638,f1707,f8544,f8686,f3219,f3941,f5876,f908"
11,matched_random20,0.5536724762335898,0.549305912137806,"f13220,f3525,f11096,f960,f10801,f4230,f5741,f7697,f5623,f4385,f11329,f11464,f13702,f4329,f7427,f11646,f4013,f9015,f8721,f14740"
12,matched_random20,0.8019041421457673,0.7748578180154833,"f14917,f7427,f12046,f9555,f2405,f4463,f8490,f9518,f8592,f5708,f14625,f13529,f11595,f8857,f1130,f14309,f2454,f4737,f15762,f1366"
13,matched_random20,0.7205607741059304,0.6712714088629015,"f16383,f571,f5683,f2806,f5354,f10637,f625,f5725,f1551,f3307,f9609,f10942,f948,f3516,f11270,f3897,f13975,f4150,f12483,f12813"
14,matched_random20,0.5617077863286555,0.5290200676173956,"f15071,f268,f224,f8521,f11112,f13884,f767,f1740,f5920,f15708,f4164,f15507,f1524,f12380,f10956,f10986,f5208,f5623,f11711,f15886"
15,matched_random20,0.5307973064735175,0.5217511495504337,"f13250,f95,f8064,f2806,f10374,f7085,f6814,f16105,f8799,f14650,f13227,f4575,f7691,f4566,f15849,f3484,f14743,f5026,f2537,f14312"
16,matched_random20,0.596650067904029,0.6064590810478936,"f16159,f6894,f13312,f12500,f10015,f5772,f474,f13895,f9518,f15386,f3530,f13049,f5391,f4669,f4116,f11711,f5696,f297,f13382,f1497"
17,matched_random20,0.798070393843368,0.7649733184273388,"f15993,f11154,f6061,f10708,f16317,f1846,f3550,f13576,f12834,f12704,f3136,f7250,f2683,f388,f13834,f12722,f10680,f16020,f6012,f15062"
18,matched_random20,0.6519069714803079,0.6407949627072755,"f15603,f3573,f7382,f7831,f1211,f284,f15350,f13369,f11617,f10175,f14047,f10457,f6697,f2051,f12782,f2237,f2113,f7903,f16149,f13795"
19,matched_random20,0.6225101856043458,0.5706544982012607,"f15965,f4893,f1196,f2069,f884,f7947,f14841,f6954,f5399,f7667,f15444,f3367,f1977,f8647,f9889,f7464,f15209,f2853,f5648,f2873"
20,matched_random20,0.7666081937528294,0.7463695597853994,"f13164,f9476,f1196,f2309,f3397,f1489,f5768,f10505,f5010,f11587,f15553,f6829,f1397,f6633,f15295,f3516,f1755,f8213,f15418,f11818"
21,matched_random20,0.6415657537347216,0.6039783862140384,"f7823,f12234,f13312,f7831,f9728,f7789,f5744,f1492,f14362,f6259,f1282,f14980,f2853,f8060,f4670,f9035,f14263,f297,f4819,f3693"
22,matched_random20,0.7012647125396108,0.6429369357634112,"f14183,f268,f6061,f15710,f81,f1456,f1115,f7389,f13157,f5217,f9230,f14694,f9431,f2306,f566,f3198,f9833,f8142,f7696,f11711"
23,matched_random20,0.824227591670439,0.7941510637863423,"f2020,f6028,f10708,f12154,f2516,f5265,f5696,f15508,f16351,f8626,f1481,f15710,f4939,f13796,f10007,f11889,f11244,f13927,f3236,f16331"
24,matched_random20,0.8278774332277048,0.8216017645643394,"f16171,f16183,f8976,f2012,f9091,f6466,f8598,f10030,f11908,f3189,f4793,f14838,f792,f11830,f13678,f1145,f5272,f10841,f11287,f6917"
25,matched_random20,0.7362635808057945,0.6993298871222984,"f12867,f571,f9617,f5129,f7819,f10786,f11675,f12659,f8877,f7676,f12627,f2590,f15019,f7780,f6831,f3449,f8148,f2762,f6159,f2328"
26,matched_random20,0.6404481665912177,0.6144742651551255,"f14917,f6894,f2944,f15692,f7680,f7288,f7549,f15992,f14187,f637,f13913,f5235,f16370,f6703,f11579,f3877,f5078,f12261,f3643,f7518"
27,matched_random20,0.7592802172928927,0.6824096137929384,"f297,f2393,f7831,f9523,f3316,f7812,f9783,f9453,f8060,f15371,f10273,f12848,f8256,f12315,f744,f13249,f215,f10377,f16317,f9359"
28,matched_random20,0.6404764599366229,0.5963486065699749,"f15228,f571,f13509,f1729,f2673,f1274,f3142,f6607,f8682,f5613,f2020,f16350,f13189,f4728,f15306,f13442,f10684,f8652,f1257,f15893"
29,matched_random20,0.672264033499321,0.6327477004312557,"f13564,f5932,f1741,f1729,f10524,f3545,f6403,f7823,f12210,f13099,f12348,f15213,f7229,f918,f1974,f15849,f7485,f7249,f6775,f5461"
30,matched_random20,0.5949100271616117,0.5645550231190974,"f16159,f5574,f13924,f14352,f472,f4519,f4805,f8809,f2387,f13653,f10329,f134,f7823,f3552,f818,f1145,f428,f14709,f2961,f5976"
31,matched_random20,0.7148030783159801,0.6334771404665576,"f14917,f10746,f3909,f12154,f1679,f14678,f4823,f15489,f9835,f14339,f3275,f4860,f12362,f7348,f947,f8165,f1658,f14864,f10592,f6229"
32,matched_random20,0.6061141919420553,0.62936151928853,"f14917,f12234,f11096,f15710,f1468,f16370,f8193,f406,f1319,f11272,f5700,f13075,f6747,f754,f11668,f6995,f1547,f8596,f6092,f6654"
33,matched_random20,0.6945167496604798,0.6730527865389905,"f15993,f4893,f384,f9523,f9190,f15918,f15017,f1858,f7989,f8662,f6821,f1257,f1979,f7331,f5341,f3102,f5675,f7488,f9170,f13839"
34,matched_random20,0.787658442734269,0.8096186366945605,"f3899,f3231,f12046,f960,f813,f1870,f16313,f15597,f11096,f12387,f8016,f8003,f15524,f13867,f3073,f6801,f13576,f10292,f4973,f1338"
35,matched_random20,0.6997934585785424,0.6532757810648444,"f203,f10627,f1159,f2069,f13122,f11686,f8990,f9865,f15742,f6712,f366,f2172,f176,f13024,f11403,f13007,f3662,f13411,f14417,f8513"
36,matched_random20,0.8279340199185151,0.8079855809732505,"f9360,f6803,f13924,f2595,f4079,f15566,f10807,f7311,f2897,f15371,f13507,f524,f6130,f323,f1092,f827,f4511,f8213,f6440,f6869"
37,matched_random20,0.620416478044364,0.5735737810032938,"f1670,f6575,f3397,f5575,f11036,f8670,f6281,f2746,f2493,f747,f6396,f15324,f14986,f10329,f12934,f6954,f1518,f6665,f7864,f13190"
38,matched_random20,0.5975413082842915,0.6016059057606569,"f297,f12387,f8064,f14146,f3528,f11286,f4168,f4616,f12783,f4001,f15644,f2013,f13811,f6398,f4079,f6095,f1607,f5878,f11968,f2555"
39,matched_random20,0.690499094612947,0.6706582983225509,"f12950,f13442,f13509,f4486,f8682,f12353,f9234,f5335,f6805,f6469,f3623,f7975,f12365,f11286,f8827,f856,f8514,f5878,f2476,f4023"
40,matched_random20,0.7692111815301041,0.7376743744639889,"f15993,f3525,f9617,f1651,f11943,f10425,f9248,f6565,f2414,f11716,f13473,f1829,f13655,f8229,f13874,f537,f6038,f12352,f15700,f1234"
41,matched_random20,0.6818130375735627,0.7047223895096157,"f7861,f6856,f7382,f9523,f12392,f4616,f15720,f2375,f11036,f13802,f9984,f7303,f15680,f973,f15938,f1960,f797,f3902,f14472,f9631"
42,matched_random20,0.5951222272521504,0.5884154979477625,"f2460,f684,f3166,f1928,f1693,f11662,f15691,f6075,f8427,f602,f4073,f3226,f191,f15050,f14973,f6229,f8824,f10996,f1282,f3575"
43,matched_random20,0.6832842915346311,0.6940914970835615,"f2020,f1367,f9617,f9523,f11914,f5675,f7884,f8413,f3349,f5997,f8456,f14788,f10038,f9474,f1712,f9363,f11069,f4116,f11500,f838"
44,matched_random20,0.7878423494794023,0.7888763756980172,"f13288,f8449,f350,f13067,f6569,f176,f9772,f10311,f13953,f11965,f12861,f15386,f4835,f2474,f1130,f16129,f2004,f15732,f5909,f948"
45,matched_random20,0.6612154821186057,0.6245681247758467,"f2020,f16342,f6464,f15692,f9626,f1488,f6486,f10747,f5412,f9526,f4456,f5672,f13758,f6172,f3612,f532,f10159,f3123,f10963,f8117"
46,matched_random20,0.7254272295156179,0.7220465023446265,"f1770,f1596,f13084,f7887,f6875,f10350,f9910,f7700,f1092,f13794,f5486,f1107,f11446,f6915,f10385,f7518,f1191,f2312,f4289,f13586"
47,matched_random20,0.8083691715708466,0.7921495360328275,"f14184,f11703,f1196,f4486,f4045,f2094,f9384,f10111,f10971,f3231,f84,f15687,f8099,f9804,f11585,f6247,f3504,f7183,f4983,f5133"
48,matched_random20,0.6787149162516977,0.605587050181034,"f16159,f9810,f5006,f14042,f1170,f2047,f14339,f1246,f2580,f2342,f12564,f887,f14914,f10926,f13472,f11787,f747,f10690,f14711,f9382"
49,matched_random20,0.667510751471254,0.6691974798527985,"f12950,f13408,f7887,f2595,f12335,f16021,f5415,f15818,f8786,f11910,f9810,f11286,f13238,f5278,f9597,f10008,f4184,f5283,f11000,f8472"
50,matched_random20,0.6465453825260299,0.6471713214049982,"f12246,f1596,f9428,f8976,f2094,f10158,f4940,f6221,f15696,f2372,f1101,f11869,f15026,f11384,f15230,f13691,f7474,f11066,f1081,f419"
51,matched_random20,0.7394182888184698,0.7418377812377662,"f12928,f95,f9110,f7696,f8413,f14873,f8030,f2786,f12714,f1924,f16212,f8025,f11446,f452,f7314,f11672,f4096,f10378,f3147,f6698"
52,matched_random20,0.7873047759167043,0.7780706969206261,"f3899,f11154,f13509,f8521,f428,f1397,f2567,f11646,f7767,f5105,f6170,f7975,f14402,f14339,f3413,f11641,f8349,f8589,f15045,f10996"
53,matched_random20,0.7257526029877772,0.7305437175237,"f12047,f286,f15433,f10825,f13068,f15104,f1577,f6281,f14514,f2549,f10345,f3431,f2618,f15595,f856,f8270,f8719,f7024,f5280,f7473"
