trial,n,top20_auroc,top20_pr_auc,welch_fdr_significant_count,max_abs_train_effect,selected_features
0,376,0.7710643956541422,0.785014497669343,334,0.018149264785956486,"f6638,f1369,f3236,f665,f3504,f9712,f1215,f13576,f4135,f7060,f15198,f13874,f11836,f12441,f11644,f4932,f13898,f5678,f11058,f2830"
1,376,0.7532537347215935,0.7692381957920675,364,0.01857850869542897,"f3236,f13874,f6638,f1369,f1215,f665,f3504,f9712,f4135,f15198,f11836,f11644,f1219,f13576,f4932,f12441,f11058,f5678,f827,f13316"
2,376,0.7926522181982797,0.8095308226212863,342,0.01909938564107929,"f1369,f3236,f9712,f1215,f5678,f15198,f6638,f3504,f665,f11836,f4135,f13874,f4932,f11058,f13576,f11644,f12441,f827,f11738,f4867"
3,376,0.7762420778632866,0.7906704749501768,346,0.0181481213199886,"f6638,f1369,f3236,f13576,f1215,f4135,f3504,f9712,f13874,f15198,f2830,f4932,f11836,f5678,f11644,f665,f12441,f1219,f11738,f11058"
4,376,0.7705268220914441,0.7814811100893783,330,0.018351354423236634,"f665,f1369,f6638,f13576,f1215,f9712,f3504,f3236,f4135,f11836,f13874,f11644,f12441,f15198,f5678,f1219,f7060,f4932,f4867,f11058"
5,376,0.775619624264373,0.789900158796821,341,0.018752777270298983,"f9712,f1369,f6638,f3504,f1215,f4135,f11836,f11644,f13576,f665,f12441,f3236,f1219,f13874,f5678,f15198,f11058,f7060,f4932,f4867"
6,376,0.7924541647804437,0.7853101630963091,387,0.018439761001339275,"f4932,f6638,f1369,f13874,f13576,f3504,f3236,f11836,f1215,f9712,f4135,f5678,f665,f15198,f2830,f11058,f11644,f12441,f1219,f827"
7,376,0.790855590765052,0.771760238502563,362,0.01804903698986037,"f6638,f1369,f13576,f3236,f665,f13874,f4135,f3504,f9712,f1215,f11836,f15198,f4867,f2830,f4932,f11058,f11644,f12441,f7060,f11738"
8,376,0.7713614757808964,0.7802141650719596,350,0.01786760808999073,"f6638,f665,f13576,f1369,f15198,f3236,f3504,f13874,f1215,f9712,f11836,f11644,f2830,f4135,f4932,f12441,f4867,f7060,f11058,f827"
9,376,0.7691404481665912,0.7654346031301819,367,0.01826083732947229,"f6638,f13874,f1369,f13576,f665,f15198,f3236,f3504,f9712,f1215,f2830,f11836,f11644,f4135,f4932,f1219,f5678,f12441,f11058,f13898"
10,376,0.7878989361702128,0.8226622774715642,378,0.018807331253675362,"f1369,f6638,f3504,f9712,f15198,f13576,f5678,f11836,f12441,f3236,f1215,f665,f4135,f11058,f13874,f827,f2830,f4932,f11644,f1219"
11,376,0.7996689678587597,0.7940695437088804,364,0.01798580253516579,"f6638,f1369,f4932,f665,f13576,f15198,f3236,f4135,f3504,f13874,f1215,f9712,f11644,f13898,f11836,f7060,f2830,f12441,f5678,f4867"
12,376,0.782735400633771,0.7976634754187155,400,0.01825957126578591,"f13576,f6638,f1369,f13874,f3236,f9712,f3504,f1215,f4135,f11836,f7060,f665,f15198,f13898,f12441,f4932,f11644,f1219,f5678,f827"
13,376,0.7905585106382979,0.7858957872843039,355,0.018429061075910268,"f15198,f6638,f1369,f13576,f665,f9712,f3504,f4135,f3236,f4932,f13874,f1215,f11836,f4867,f11058,f12441,f5678,f7060,f11644,f2830"
14,376,0.7886204164780444,0.8076145274779382,350,0.01841730537745069,"f6638,f1369,f13576,f3236,f3504,f665,f4135,f9712,f13874,f1215,f11836,f4867,f5678,f15198,f11058,f2830,f12441,f4932,f11644,f13316"
15,376,0.7737098234495248,0.7792255378293103,354,0.018427602386973933,"f6638,f665,f1369,f3236,f3504,f4135,f13874,f11836,f9712,f1215,f13576,f5678,f4867,f4932,f11644,f15198,f11058,f12441,f1219,f7060"
16,376,0.7771616115889544,0.7836182024707308,375,0.01815173955772942,"f6638,f15198,f665,f1369,f3236,f1215,f13576,f13874,f9712,f1219,f3504,f4932,f4135,f11836,f11644,f2830,f5678,f11058,f12441,f11738"
17,376,0.7966415799004074,0.7696351294305268,363,0.01820951754207463,"f1369,f3236,f6638,f9712,f665,f1215,f3504,f13576,f13874,f11836,f4135,f5678,f4867,f11644,f11058,f15198,f12441,f4932,f2830,f1219"
18,376,0.7717717292892712,0.7902002864491833,354,0.018735899713801872,"f3236,f1369,f6638,f1215,f3504,f9712,f11836,f15198,f11644,f4135,f5678,f665,f13576,f12441,f13874,f11058,f1219,f4932,f4867,f13864"
19,376,0.7814622000905388,0.8079204631397264,311,0.01838592601880587,"f6638,f3236,f15198,f1369,f13874,f9712,f665,f1215,f3504,f11644,f13576,f11836,f12441,f4135,f4867,f5678,f1219,f11058,f4932,f7060"
20,376,0.7891014033499321,0.8072416639630208,342,0.01871113511337401,"f1369,f13874,f3236,f6638,f3504,f9712,f4135,f1215,f11836,f12441,f665,f11058,f5678,f13576,f15198,f1219,f827,f11644,f7060,f4932"
21,376,0.7617841783612496,0.784620546329892,344,0.018546032654914106,"f6638,f15198,f1369,f3236,f1215,f9712,f13874,f3504,f13576,f11836,f4135,f4932,f665,f11058,f5678,f1219,f11644,f12441,f4867,f827"
22,376,0.7970235400633771,0.8150033157634868,360,0.0185901939006958,"f13576,f1369,f665,f6638,f3504,f9712,f11836,f1215,f3236,f11644,f4867,f13874,f4135,f12441,f5678,f15198,f1219,f11058,f11738,f4932"
23,376,0.7824100271616117,0.8087883525620725,357,0.01798236824354115,"f665,f6638,f3236,f15198,f4932,f13576,f1369,f11644,f3504,f9712,f1215,f4135,f13874,f11836,f12441,f4867,f1219,f5678,f2830,f7060"
24,376,0.7697063150746943,0.7725062583774717,368,0.01823357949925069,"f6638,f1369,f665,f13576,f9712,f3504,f1215,f11836,f13874,f4932,f4135,f3236,f15198,f12441,f5678,f7060,f11058,f11644,f2830,f4867"
25,376,0.7790289723856948,0.8138439195922307,359,0.018924209749960175,"f6638,f1369,f4932,f3504,f13576,f1215,f9712,f3236,f15198,f11836,f4135,f13874,f665,f5678,f4867,f11644,f11058,f11738,f2830,f12441"
26,376,0.7875311226799456,0.7959559364394362,355,0.018566490344187975,"f1369,f3236,f9712,f6638,f3504,f13576,f11058,f13874,f1215,f15198,f665,f11836,f12441,f4135,f5678,f11644,f7060,f1219,f13898,f4932"
27,376,0.7721253961068357,0.7932790402760435,363,0.019013423200181484,"f1369,f3236,f6638,f9712,f3504,f1215,f13874,f4135,f11644,f11836,f15198,f11058,f12441,f665,f13576,f5678,f4932,f827,f15377,f15040"
28,376,0.7738512901765504,0.7801983558414145,351,0.018151772778203804,"f13874,f1369,f9712,f6638,f665,f4135,f3504,f3236,f13576,f1215,f11836,f4867,f15198,f11058,f12441,f5678,f7060,f4932,f11644,f2830"
29,376,0.781957333635129,0.7952850793803503,337,0.018013715996664553,"f6638,f665,f13576,f1369,f3236,f3504,f9712,f1215,f4135,f13874,f15198,f2830,f11644,f4932,f11836,f11738,f1219,f11058,f5678,f13898"
30,376,0.7612607514712539,0.7727087130963788,349,0.01839356247751793,"f6638,f1369,f3236,f13576,f4135,f3504,f9712,f13874,f665,f1215,f4932,f11836,f15198,f4867,f12441,f11058,f7060,f5678,f11644,f11738"
31,376,0.7922419646899049,0.7921497431257745,361,0.018425255850393382,"f15198,f13576,f1369,f6638,f13874,f4135,f9712,f3236,f3504,f665,f1215,f4932,f11836,f13898,f2830,f12441,f11644,f11058,f5678,f1219"
32,376,0.7693102082390222,0.7948404259628743,362,0.018224056686294496,"f6638,f1369,f13874,f13576,f4932,f4135,f665,f3504,f15198,f3236,f9712,f1215,f11836,f11644,f12441,f2830,f4867,f11058,f5678,f15040"
33,376,0.780882186509733,0.8169533135940594,348,0.01903257900948059,"f1369,f6638,f3236,f1215,f13874,f9712,f3504,f13576,f11836,f665,f11058,f4135,f12441,f5678,f11644,f827,f15198,f7060,f13316,f7010"
34,376,0.755361588954278,0.7695069812392081,368,0.018152658208372405,"f1369,f4135,f6638,f3504,f9712,f11836,f13576,f13874,f3236,f1215,f15198,f11644,f665,f12441,f7060,f11058,f5678,f4932,f827,f1219"
35,376,0.7565216161158895,0.7732426181858276,338,0.018586522716275845,"f1369,f9712,f6638,f3504,f13576,f4135,f1215,f15198,f13874,f7060,f3236,f11836,f665,f4932,f12441,f11644,f2830,f5678,f11058,f1219"
36,376,0.7615436849253054,0.7730048108075784,372,0.018354912105194722,"f6638,f1369,f665,f3236,f3504,f1215,f9712,f13576,f4932,f15198,f13874,f4135,f5678,f11836,f11644,f4867,f1219,f7060,f11058,f12441"
37,376,0.7696355817111815,0.7822253134712,338,0.01833911163316284,"f9712,f1369,f4135,f665,f3504,f15198,f13576,f6638,f3236,f1219,f1215,f13874,f11836,f4932,f5678,f11644,f12441,f11058,f7060,f2830"
38,376,0.7557294024445451,0.762899399178991,353,0.018728383772194046,"f1369,f6638,f9712,f13874,f3504,f3236,f1215,f4135,f11836,f13576,f15198,f11644,f665,f5678,f12441,f827,f1219,f11058,f7060,f4932"
39,376,0.7777274784970575,0.7865160610994072,353,0.01880726969721626,"f1369,f6638,f9712,f1215,f3504,f13576,f13874,f11836,f11644,f4135,f665,f12441,f3236,f15198,f5678,f11058,f1219,f4932,f2830,f13316"
40,376,0.7419646899049344,0.7244102199625535,330,0.018389535349536107,"f6638,f1369,f4135,f9712,f13576,f3236,f3504,f13874,f1215,f15198,f11836,f4932,f665,f11644,f2830,f12441,f11058,f1219,f5678,f7060"
41,376,0.7879979628791308,0.7972054020895134,333,0.018248975638577573,"f6638,f1369,f15198,f4135,f3504,f9712,f11836,f665,f1215,f4932,f13576,f3236,f12441,f11058,f5678,f11644,f13874,f13898,f1219,f827"
42,376,0.7828627206880941,0.7888398801633117,350,0.01818330617165785,"f6638,f1369,f3236,f15198,f665,f13576,f3504,f4932,f9712,f1215,f13874,f4135,f4867,f11836,f11058,f2830,f5678,f11644,f11738,f12441"
43,376,0.7750679040289723,0.784740718626091,351,0.018611865499591866,"f6638,f1369,f4135,f9712,f3504,f13874,f15198,f1215,f13576,f3236,f665,f11836,f4932,f11644,f12441,f11058,f4867,f15040,f5678,f1219"
44,376,0.7945761656858307,0.796303931510008,313,0.018189009492027924,"f6638,f13874,f1369,f3236,f3504,f4135,f9712,f13576,f11836,f1215,f665,f4867,f15198,f13898,f4932,f11058,f11644,f12441,f7060,f5678"
45,376,0.7823392937980987,0.7983997538235753,356,0.018226952772547874,"f13576,f6638,f1369,f15198,f665,f4932,f3504,f3236,f4135,f13874,f1215,f9712,f4867,f11644,f11836,f12441,f11058,f5678,f1219,f7060"
46,376,0.7883374830239929,0.8147505958564596,352,0.017828065203502753,"f6638,f13576,f15198,f1369,f13874,f4135,f3504,f9712,f3236,f4867,f2830,f665,f4932,f1215,f7060,f11836,f827,f11058,f11738,f12441"
47,376,0.7694092349479403,0.8110879656374899,346,0.01803001661864206,"f6638,f13576,f1369,f3236,f4135,f15198,f13874,f3504,f9712,f665,f4932,f1215,f2830,f11738,f11836,f11644,f12441,f5678,f11058,f827"
48,376,0.7678955409687641,0.8015080226425817,339,0.018914124487522728,"f6638,f1369,f3236,f4135,f3504,f1215,f9712,f15198,f13874,f11836,f665,f12441,f5678,f13576,f11644,f11058,f1219,f15040,f2830,f7060"
49,376,0.7645144861928475,0.7623530749505976,365,0.018031986742379477,"f6638,f13576,f1369,f9712,f15198,f665,f3504,f13874,f1215,f7060,f3236,f4135,f11836,f11644,f4867,f12441,f5678,f11058,f2830,f13898"
50,376,0.7947883657763695,0.801888005689332,329,0.01817670022137461,"f6638,f13576,f1369,f3236,f665,f9712,f3504,f13874,f1215,f4135,f2830,f12441,f11644,f11836,f7060,f15198,f4867,f11058,f5678,f11738"
51,376,0.7570591896785877,0.7800557002800981,321,0.018579563755106075,"f1369,f6638,f13874,f3236,f4135,f9712,f3504,f11836,f13576,f1215,f4932,f12441,f15198,f5678,f11644,f11058,f665,f827,f1219,f15377"
52,376,0.7827919873245814,0.7881131045159737,350,0.017821979347338993,"f13576,f6638,f1369,f665,f9712,f3236,f3504,f13874,f1215,f4135,f2830,f7060,f4932,f15198,f11836,f13898,f12441,f11058,f4867,f11644"
53,376,0.7771333182435491,0.8057589406640724,323,0.01853624804123758,"f6638,f1369,f13576,f3236,f4135,f3504,f9712,f13874,f1215,f11836,f15198,f11058,f5678,f827,f12441,f7060,f11644,f11738,f665,f2830"
54,376,0.7678813942960614,0.7566899863403971,365,0.018331131575866876,"f6638,f13874,f3236,f1369,f9712,f13576,f3504,f4135,f11836,f1215,f15198,f665,f12441,f11644,f4867,f2830,f5678,f11058,f1219,f827"
55,376,0.7680087143503848,0.7771569455711793,336,0.01838420301259671,"f6638,f1369,f13874,f15198,f3236,f3504,f9712,f665,f1215,f11058,f4932,f13576,f4135,f11836,f11644,f2830,f5678,f12441,f827,f1219"
56,376,0.7666789271163422,0.7623037447811725,338,0.017933998866244492,"f6638,f13576,f665,f1369,f15198,f3236,f4135,f3504,f9712,f4932,f13874,f1215,f2830,f11644,f12441,f4867,f11836,f11058,f5678,f7060"
57,376,0.7799626527840653,0.7878449979236255,363,0.018680848295186087,"f1369,f6638,f4932,f9712,f13874,f3236,f3504,f4135,f1215,f665,f11836,f13576,f15198,f11058,f4867,f5678,f11738,f2830,f12441,f11644"
58,376,0.7757610909913988,0.8277567748067916,359,0.019216873876235246,"f1369,f3504,f6638,f9712,f4135,f1215,f3236,f11836,f5678,f11058,f12441,f13874,f15198,f827,f11644,f13576,f665,f5017,f15377,f13316"
59,376,0.8009563150746943,0.790591381182411,341,0.018697028102828753,"f6638,f1369,f13576,f3504,f1215,f9712,f4135,f3236,f13874,f11836,f665,f12441,f11058,f5678,f11644,f7060,f15198,f4932,f827,f2830"
60,376,0.7914780443639656,0.7863610155165164,333,0.01809386694506601,"f15198,f13576,f6638,f1369,f13874,f3236,f9712,f4135,f665,f3504,f4932,f1215,f2830,f11644,f11836,f11058,f12441,f7060,f5678,f827"
61,376,0.7787177455862382,0.772217510183881,395,0.018745840036686723,"f6638,f1369,f3504,f1215,f13576,f9712,f3236,f11644,f13874,f4135,f11836,f665,f15198,f4932,f12441,f11058,f5678,f1219,f2830,f4867"
