feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
goal1_random20_01_zero_n96,0,10883,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,1,12281,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,2,963,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,3,14495,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,4,7610,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,5,12667,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,6,11333,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,7,2536,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,8,7188,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,9,2990,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,10,10136,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,11,2352,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,12,12355,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,13,5812,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,14,642,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,15,8011,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,16,15786,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,17,12148,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,18,8807,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
goal1_random20_01_zero_n96,19,6024,0.0,1.0,eccv_final_rebuttal_high_ev,zero_random_active_features,1,always,20,goal:1
