feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
goal1_top20_zero_n96,0,10609,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,1,11471,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,2,1972,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,3,9215,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,4,11070,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,5,3154,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,6,11183,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,7,9998,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,8,15966,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,9,1528,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,10,5981,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,11,15118,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,12,14915,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,13,1457,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,14,8150,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,15,13328,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,16,15790,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,17,15872,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,18,3212,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
goal1_top20_zero_n96,19,15030,0.0,1.0,eccv_final_rebuttal_high_ev,zero_progress_features,0,always,20,goal:1
