feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
long0_random20_01_highmean_n96,0,10883,8.21622536781631e-05,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,1,12281,0.0,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,2,963,1.1359248061310694e-05,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,3,14495,7.71558196109556e-05,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,4,7610,0.0,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,5,12667,0.0002080647718101,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,6,11333,0.000115959802991,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,7,2536,0.0,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,8,7188,0.0011452640055673,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,9,2990,3.205314104290856e-05,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,10,10136,0.0004613080440477,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,11,2352,0.0026069909501023,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,12,12355,0.0,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,13,5812,0.0,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,14,642,1.53717193951738e-05,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,15,8011,0.0008840941286142,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,16,15786,0.0,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,17,12148,0.0001243073206873,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,18,8807,6.77731518140599e-05,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
long0_random20_01_highmean_n96,19,6024,4.562092845372888e-05,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,1,always,20,long:0
