split,method,n,spearman,spearman_ci95_low,spearman_ci95_high,pearson,pearson_ci95_low,pearson_ci95_high,r2,mae
episode_cv,suite_only,750,0.48130253455288674,0.40509409811522445,0.5563927518528861,0.5508779733651478,0.47599897651737233,0.6183364960278727,0.3024192735037876,0.13424430958672504
episode_cv,motion,750,0.8106763582763937,0.7725175017196931,0.8436434895254594,0.09929046652801093,0.03739132217791689,0.9555829366625391,-57.075157227445594,0.1459596675305899
episode_cv,motion_suite_task,750,0.9808396858788734,0.9707525623067933,0.9866797924299944,0.6408975349358398,0.45592135412523016,0.9857066687998433,-0.3433310333989763,0.03821789330486596
episode_cv,fixed_top20_sae,750,0.060786564636366475,-0.01019151219052337,0.13481418095037526,0.29802600506934995,0.23945954992269997,0.3610140587239534,0.08748391088419039,0.1737300885145281
episode_cv,nested_top20_sae,750,0.5040457248179169,0.43479633663176337,0.5674873739324371,0.7179679917321096,0.6691909292688092,0.7631256760940365,0.5144663486062023,0.11808615301543614
episode_cv,full_sae,750,0.7388103785159341,0.6933704765857689,0.7784087127844003,0.7755529670096262,0.7286124459549531,0.8168253847930697,0.5959616882713001,0.09847841143850625
episode_cv,raw_pca20,750,0.7265860563785689,0.6815921979853543,0.7670141286285023,0.7978611420979838,0.7562143010369385,0.8344769614800717,0.6365662537118779,0.09578635053082447
task_heldout,suite_only,750,0.43742353847084203,0.35097724470098435,0.5160395594118267,0.4980895495425582,0.42080100008693594,0.572286165526554,0.2472772187126998,0.13908450222257912
task_heldout,motion,750,0.7928869410096014,0.7533707387073985,0.8271870074980511,0.9479849536655105,0.9371900744561177,0.9571325827995583,0.8985981471347101,0.05789266416125853
task_heldout,motion_suite_task,750,0.9829309538941081,0.9784379337062068,0.9859122317824327,0.9808341360241082,0.9731806014525457,0.9873311975792667,0.9613834105841266,0.027212955596488123
task_heldout,fixed_top20_sae,750,0.02045895004561815,-0.05402156781781257,0.09466053048078357,0.28785315460898053,0.22209781059907613,0.35427842976671153,0.07173313029813866,0.1739299411797935
task_heldout,nested_top20_sae,750,0.43710555962701925,0.36793348375152496,0.5041261344570799,0.6732041420259601,0.6192472676294049,0.7239937057283468,0.4443014406604926,0.12434999392672519
task_heldout,full_sae,750,0.67600337437093,0.6264087873816764,0.7191423926530444,0.6813040783020274,0.6361498611039691,0.7244444441662147,0.42824205564229123,0.12305297295495014
task_heldout,raw_pca20,750,0.6748060885165855,0.6229746268958398,0.7213963427477725,0.7568819506036131,0.7124955929086793,0.7948542017079795,0.5719587100785655,0.10307692524039885
instruction_heldout,suite_only,750,0.4568914858899569,0.3764838784555206,0.5277988315990653,0.5399429447916955,0.4686766700750894,0.6107900778280734,0.291094156929967,0.13573670888189615
instruction_heldout,motion,750,0.8030130831184609,0.7641827798951173,0.835916529973625,0.9498764519509264,0.9392016432323225,0.9590149561714908,0.902193836196215,0.056887300100856616
instruction_heldout,motion_suite_task,750,0.9838717272559484,0.9798367220729917,0.9867681017041402,0.9818456433206819,0.9747343846011012,0.9878211985889538,0.9635670753757055,0.02644129932169259
instruction_heldout,fixed_top20_sae,750,0.025891837862606622,-0.04897379583243452,0.0958958312564545,0.29238367622555317,0.23117128364989645,0.3550518217157966,0.08214463652957171,0.17379900797450681
instruction_heldout,nested_top20_sae,750,0.4400648314064353,0.3730351888479732,0.5098215912187966,0.6623577386955883,0.610121784736393,0.7146228350407934,0.43135576960349375,0.126358776869815
instruction_heldout,full_sae,750,0.6973133388416175,0.6513079867144,0.7408840662723878,0.7263167031865017,0.6775901630575333,0.7690036135916566,0.49242673955413274,0.1131852063362215
instruction_heldout,raw_pca20,750,0.6923437719667158,0.64449922707787,0.7347187827551203,0.7780103940096681,0.7371006062564038,0.8144294455867782,0.6039037092858799,0.10106296630942961
