prefix_fraction,method,n,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high,fpr_target,realized_fpr,realized_fpr_ci95_low,realized_fpr_ci95_high,tpr,tpr_ci95_low,tpr_ci95_high,precision,precision_ci95_low,precision_ci95_high
0.1,submitted20_sae,376,0.8408782254413762,0.80037442968346,0.8803841979043945,0.7856212832229457,0.7183481672578853,0.8607647845825914,0.1,0.10106382978723404,0.060106557377049175,0.14659685863874344,0.6808510638297872,0.6127354593522802,0.7442011870155038,0.8707482993197279,0.8115912330719887,0.9230769230769231
0.1,submitted20_sae,376,0.8408782254413762,0.80037442968346,0.8803841979043945,0.7856212832229457,0.7183481672578853,0.8607647845825914,0.2,0.2393617021276596,0.17856660231660232,0.3041293142088749,0.776595744680851,0.7165754727382987,0.8359788359788359,0.7643979057591623,0.6994417029106724,0.821998166210434
0.1,robust20_sae,376,0.5695308963331824,0.5130208276217215,0.6254961324885593,0.5896840884126369,0.5220902802795172,0.6586122628693988,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.44680851063829785,0.550531914893617
0.1,robust20_sae,376,0.5695308963331824,0.5130208276217215,0.6254961324885593,0.5896840884126369,0.5220902802795172,0.6586122628693988,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4521276595744681,0.550531914893617
0.1,motion,376,0.8391523313716615,0.8001662668451656,0.8797489467244044,0.819537948953782,0.7546708823465501,0.8820127623424389,0.1,0.12234042553191489,0.0782122905027933,0.16991065895476137,0.6914893617021277,0.6243654822335025,0.7580689471818504,0.8496732026143791,0.7908496732026143,0.9030351906158358
0.1,motion,376,0.8391523313716615,0.8001662668451656,0.8797489467244044,0.819537948953782,0.7546708823465501,0.8820127623424389,0.2,0.2074468085106383,0.1475326620620787,0.26596611933395,0.7446808510638298,0.6808454940403252,0.8033845560696188,0.7821229050279329,0.7237336355993275,0.8397790055248618
0.1,motion_plus_submitted20_sae,376,0.8473856948845632,0.8053065175987402,0.8858669553516142,0.7929614578569277,0.7238598033854686,0.865045946185747,0.1,0.11702127659574468,0.07329842931937172,0.16666666666666666,0.6808510638297872,0.6136363636363636,0.7472582972582973,0.8533333333333334,0.7924467042391571,0.9084667093469909
0.1,motion_plus_submitted20_sae,376,0.8473856948845632,0.8053065175987402,0.8858669553516142,0.7929614578569277,0.7238598033854686,0.865045946185747,0.2,0.24468085106382978,0.1823197226058932,0.30770202020202014,0.8138297872340425,0.7559643184363228,0.8677248677248677,0.7688442211055276,0.7113374496940295,0.8272382825221072
0.1,motion_plus_robust20_sae,376,0.8396899049343595,0.7968693308772327,0.8777196095829636,0.815907069576749,0.75303881358625,0.8815357796552947,0.1,0.11170212765957446,0.06929839535677706,0.15934650455927046,0.6861702127659575,0.6203208556149733,0.7524805706377089,0.86,0.802547770700637,0.9136690647482014
0.1,motion_plus_robust20_sae,376,0.8396899049343595,0.7968693308772327,0.8777196095829636,0.815907069576749,0.75303881358625,0.8815357796552947,0.2,0.2127659574468085,0.15577043247324707,0.2713784198771635,0.7446808510638298,0.6802030456852792,0.803835150199773,0.7777777777777778,0.7209237365207223,0.8373737464829376
0.25,submitted20_sae,376,0.8626499547306474,0.8253827377110684,0.8999829886434468,0.8240839837734585,0.7595594467876052,0.8868086974676329,0.1,0.12234042553191489,0.07652210884353741,0.16849707357859522,0.6914893617021277,0.6197860054347826,0.7539288014110928,0.8496732026143791,0.7873532648569332,0.9032258064516129
0.25,submitted20_sae,376,0.8626499547306474,0.8253827377110684,0.8999829886434468,0.8240839837734585,0.7595594467876052,0.8868086974676329,0.2,0.26063829787234044,0.19997382198952882,0.3248730964467005,0.8085106382978723,0.7511961722488039,0.8617021276595744,0.7562189054726368,0.6947259340059995,0.8131313131313131
0.25,robust20_sae,376,0.6532367587143504,0.5987705817584066,0.7103752754283317,0.6838172048186043,0.6138903368278841,0.7480543129780989,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.449468085106383,0.5478723404255319
0.25,robust20_sae,376,0.6532367587143504,0.5987705817584066,0.7103752754283317,0.6838172048186043,0.6138903368278841,0.7480543129780989,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.449468085106383,0.5531914893617021
0.25,motion,376,0.8677003168854686,0.8293839737892924,0.9035539692158878,0.8457131420570884,0.7875533977215528,0.9013024592370347,0.1,0.13829787234042554,0.09258991650610147,0.18974358974358974,0.7021276595744681,0.6368301435406698,0.7659794950942563,0.8354430379746836,0.7758594566353187,0.8933372781065089
0.25,motion,376,0.8677003168854686,0.8293839737892924,0.9035539692158878,0.8457131420570884,0.7875533977215528,0.9013024592370347,0.2,0.21808510638297873,0.1639176982268317,0.2807066824364281,0.8138297872340425,0.7606382978723404,0.8686958874458874,0.788659793814433,0.7315789473684211,0.8418434479054779
0.25,motion_plus_submitted20_sae,376,0.8818186962426438,0.8475011062366977,0.9153746077537154,0.8537499818517117,0.7936389283171945,0.9110927401729281,0.1,0.1276595744680851,0.08108108108108109,0.17857574189095926,0.7287234042553191,0.6648633549750868,0.7883672884961545,0.8509316770186336,0.7911347707931059,0.9051168869599526
0.25,motion_plus_submitted20_sae,376,0.8818186962426438,0.8475011062366977,0.9153746077537154,0.8537499818517117,0.7936389283171945,0.9110927401729281,0.2,0.2393617021276596,0.18181818181818182,0.30209535256410247,0.851063829787234,0.7999742268041238,0.9,0.7804878048780488,0.7236825575244644,0.8356824522011295
0.25,motion_plus_robust20_sae,376,0.8733589859665007,0.8377311526669152,0.9050685741288262,0.8580976918534938,0.8014851464710536,0.9062608899322527,0.1,0.1276595744680851,0.08290083874846134,0.17684402045633352,0.7021276595744681,0.6386059616599958,0.7653696752793296,0.8461538461538461,0.7848101265822784,0.8980891719745223
0.25,motion_plus_robust20_sae,376,0.8733589859665007,0.8377311526669152,0.9050685741288262,0.8580976918534938,0.8014851464710536,0.9062608899322527,0.2,0.22340425531914893,0.16462277029486713,0.2829392200339115,0.8191489361702128,0.7604166666666666,0.875,0.7857142857142857,0.7272622053872054,0.8407960199004975
