feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
spatial1_random20_01_zero_n64,0,10883,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,1,12281,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,2,963,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,3,14495,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,4,7610,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,5,12667,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,6,11333,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,7,2536,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,8,7188,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,9,2990,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,10,10136,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,11,2352,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,12,12355,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,13,5812,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,14,642,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,15,8011,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,16,15786,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,17,12148,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,18,8807,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
spatial1_random20_01_zero_n64,19,6024,0.0,1.0,negative_intervention,suppress_progress_feature_value,1,always,20,spatial:1
