feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
spatial1_top20_lowmean_n64,0,10609,0.0012652095174416,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,1,11471,0.0007553228642791,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,2,1972,0.0008266499498859,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,3,9215,0.002109992550686,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,4,11070,0.0016180003294721,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,5,3154,0.0124061116948723,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,6,11183,0.001494190772064,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,7,9998,0.0104969134554266,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,8,15966,0.0004528588906396,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,9,1528,0.0008775470196269,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,10,5981,0.0131645100191235,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,11,15118,0.0010745062027126,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,12,14915,0.0010312044760212,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,13,1457,0.0004597413353621,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,14,8150,0.0057286857627332,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,15,13328,0.0072261011227965,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,16,15790,0.0069503970444202,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,17,15872,0.0004795095592271,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,18,3212,0.006082606036216,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_lowmean_n64,19,15030,0.0012608295073732,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
