feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
spatial1_top20_zero_n64,0,10609,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,1,11471,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,2,1972,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,3,9215,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,4,11070,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,5,3154,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,6,11183,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,7,9998,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,8,15966,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,9,1528,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,10,5981,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,11,15118,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,12,14915,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,13,1457,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,14,8150,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,15,13328,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,16,15790,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,17,15872,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,18,3212,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
spatial1_top20_zero_n64,19,15030,0.0,1.0,negative_intervention,suppress_progress_feature_value,0,always,20,spatial:1
