feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
spatial3_random20_00_alpha1p5_n48,0,11347,0.010799629007401347,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,1,8757,-0.0007447945053644341,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,2,910,0.0014685413253588168,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,3,13814,-0.00028856708867385677,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,4,1856,0.0025644717740522394,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,5,2639,-0.0007310650948893238,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,6,8015,5.200574732320855e-05,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,7,12152,-0.0005652273639060422,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,8,9605,0.0016109777532298739,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,9,8851,0.00010218984698926443,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,10,2834,0.0011061351219650254,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,11,8891,-0.00030551183493160157,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,12,504,0.006790416854319162,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,13,1622,-0.00023583210581406026,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,14,4925,0.0001430738783306984,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,15,12435,0.0001909827911867701,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,16,7307,0.003941528626747468,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,17,8568,8.045464945847432e-05,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,18,907,3.176354703538234e-06,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
spatial3_random20_00_alpha1p5_n48,19,2373,9.493555258560936e-05,1.0,class_mean_alpha_1.5,set_low_progress_toward_high_progress_mean_alpha_1.5,1,always,20,spatial:3
