scheme,method,n,positives,negatives,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,f1,precision,recall,fold_auroc_mean,fold_auroc_std
quartile,SAE LR,374,187,187,0.9465526609282507,0.9197818906268516,0.970052091996776,0.9509894784718558,0.9052631578947369,0.8911917098445595,0.9197860962566845,0.9460881934566145,0.019417697027866162
quartile,Top-20 SAE LR,374,187,187,0.9260916812033515,0.8995792535153244,0.9511557476148382,0.9226909702314533,0.8512820512820513,0.8177339901477833,0.8877005347593583,0.9317269616700626,0.019681172849238496
quartile,Raw activation LR,374,187,187,0.9754639823843976,0.9601373951323979,0.9873466584306565,0.9735002623972633,0.9247311827956989,0.9297297297297298,0.9197860962566845,0.9749798162315944,0.008809410324837378
quartile,Raw activation MLP,374,187,187,0.95681889673711,0.9359335615649975,0.9748236041884738,0.9545006138549531,0.9028871391076115,0.8865979381443299,0.9197860962566845,0.958036984352774,0.025718884925011107
quartile,Raw PCA-64 LR,374,187,187,0.9735194028997112,0.957719180347018,0.9862562559017125,0.9698203792255088,0.928,0.925531914893617,0.93048128342246,0.974891392103341,0.011979120211552239
quartile,Raw PCA-20 LR,374,187,187,0.9658554719894764,0.946877987939375,0.981669432713648,0.9619591236669561,0.9133858267716536,0.8969072164948454,0.93048128342246,0.9653031409788166,0.012182238821717633
quartile,Raw RP-20 LR,374,187,187,0.9158969372873117,0.8834152476764133,0.9450656937720062,0.8918148774020448,0.8661417322834646,0.8505154639175257,0.8823529411764706,0.9210526315789472,0.0431200048218576
quartile,Motion telemetry LR,374,187,187,0.9023134776516343,0.8695247728113861,0.9332213067843307,0.8797625130431164,0.8443271767810027,0.8333333333333334,0.8556149732620321,0.9046518780515935,0.026581878682837505
quartile,Random-20 SAE LR,374,187,187,0.7832651777288456,0.735629485807036,0.8277000461588334,0.7848236948320544,0.7452830188679245,0.6666666666666666,0.8449197860962567,0.7780131482834184,0.038834025808019354
tertile,SAE LR,500,250,250,0.948368,0.9264963908640379,0.966741520621837,0.9388835936939695,0.8949416342412452,0.8712121212121212,0.92,0.94784,0.02843389526603769
tertile,Top-20 SAE LR,500,250,250,0.5519999999999999,0.5036710562987737,0.6023927251266452,0.5256417127503829,0.6944444444444444,0.5319148936170213,1.0,0.56,0.016733200530681523
tertile,Raw activation LR,500,250,250,0.9594239999999999,0.9433656526878137,0.9734846705695706,0.963417404948482,0.902970297029703,0.8941176470588236,0.912,0.9610399999999999,0.026367980582517124
tertile,Raw activation MLP,500,250,250,0.9450480000000001,0.9250023430920916,0.9629608567674154,0.9293418878081131,0.8866799204771372,0.8814229249011858,0.892,0.95196,0.031262092060513134
tertile,Raw PCA-64 LR,500,250,250,0.9371200000000001,0.9150820737817076,0.9597021371989931,0.9338552838978603,0.8923679060665362,0.8735632183908046,0.912,0.9412800000000001,0.04182202290659789
tertile,Raw PCA-20 LR,500,250,250,0.94072,0.9173876529294261,0.9599259726791479,0.9267241417328015,0.8905950095969289,0.8560885608856088,0.928,0.9456,0.022073332326588122
tertile,Raw RP-20 LR,500,250,250,0.8849600000000001,0.8535358756724026,0.9145641068142581,0.8632603654222968,0.8277227722772277,0.8196078431372549,0.836,0.88208,0.020729727446351043
tertile,Motion telemetry LR,500,250,250,0.82832,0.7900319525291046,0.8638510336526335,0.7641043405221326,0.7946768060836502,0.7572463768115942,0.836,0.8332,0.042737524495459485
tertile,Random-20 SAE LR,500,250,250,0.592536,0.5421464966459986,0.640172339321213,0.5815444857433858,0.6848920863309352,0.5348314606741573,0.952,0.6094799999999999,0.02991550768414267
median,SAE LR,750,375,375,0.9286968888888889,0.9084679523263506,0.9472116717550644,0.9198685566440605,0.8848641655886158,0.8592964824120602,0.912,0.9303111111111111,0.02840842163431623
median,Top-20 SAE LR,750,375,375,0.5330666666666667,0.4920136805912738,0.5741268034280923,0.5164840709009545,0.684931506849315,0.5208333333333334,1.0,0.5399999999999999,0.012649110640673552
median,Raw activation LR,750,375,375,0.9462542222222222,0.9298281199186075,0.9602290554102958,0.9439368439539634,0.8871181938911022,0.8835978835978836,0.8906666666666667,0.9473066666666666,0.013272084506982843
median,Raw activation MLP,750,375,375,0.9430186666666667,0.9246341114182859,0.9585331920167751,0.9398488392241577,0.8797886393659181,0.8717277486910995,0.888,0.943288888888889,0.020500791914845738
median,Raw PCA-64 LR,750,375,375,0.940664888888889,0.9246005586667522,0.9561238844835535,0.9334468283470816,0.8781127129750983,0.8634020618556701,0.8933333333333333,0.9416533333333333,0.019357836834563474
median,Raw PCA-20 LR,750,375,375,0.9337955555555555,0.915359462884238,0.9516476448944651,0.922367826873794,0.8792884371029225,0.8398058252427184,0.9226666666666666,0.9348977777777778,0.02420453421454767
median,Raw RP-20 LR,750,375,375,0.8349653333333333,0.804577347083926,0.8651411216956834,0.8064659500616128,0.7918263090676884,0.7598039215686274,0.8266666666666667,0.8346666666666666,0.03414129536767337
median,Motion telemetry LR,750,375,375,0.7596373333333333,0.7233851947003369,0.7942534549727323,0.696546644723423,0.7165354330708661,0.7054263565891473,0.728,0.7613511111111111,0.02866218879755463
median,Random-20 SAE LR,750,375,375,0.6517048888888888,0.610945475735827,0.6908324360140807,0.6134884030294132,0.7233606557377049,0.5873544093178037,0.9413333333333334,0.6632888888888889,0.03392114603235195
