feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
object1_top20_alpha1p5_n32,0,10609,0.016291041683871202,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,1,11471,0.013500549015589001,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,2,1972,0.013003410014789551,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,3,9215,0.0206162844551726,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,4,11070,0.0124486840213649,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,5,3154,-0.005883895806618949,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,6,11183,0.0100967131438665,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,7,9998,-0.0048567687335889995,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,8,15966,0.0131012506171828,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,9,1528,0.0086734162468928,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,10,5981,-0.005637806345475898,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,11,15118,0.008786989026702849,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,12,14915,0.008005402807611901,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,13,1457,0.009259012294933101,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,14,8150,-0.0024777062935755993,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,15,13328,-0.0023233935644385003,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,16,15790,-0.0029209095519036514,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,17,15872,0.0085247913521015,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,18,3212,-0.0028087214668631004,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
object1_top20_alpha1p5_n32,19,15030,0.00953328405739735,1.0,suite_sweep_class_mean,set_low_progress_toward_high_progress_mean,0,always,20,object:1
