target,base_method,added_method,metric,delta,delta_ci95_low,delta_ci95_high
total_burden_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,auroc,0.0018197088465845557,-0.0023807593079111095,0.006051649751537672
total_burden_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,pr_auc,0.009704732076672773,0.0010419270745484683,0.01984379268378582
total_burden_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,auroc,0.0024076147816349813,-0.0017924660411706734,0.006947793559895542
total_burden_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,pr_auc,0.009475166388994372,0.0014838339582103123,0.019548629706721107
collision_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,auroc,-0.00042215467747397373,-0.00342074067468765,0.0017170522997240756
collision_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,pr_auc,-0.0005893146788326087,-0.0028401758099538266,0.001037003001154764
collision_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,auroc,0.0004221546774738627,-0.0018084452877996065,0.002393031495253911
collision_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,pr_auc,-0.0004987520799861755,-0.0027449999404231097,0.0012171704350642102
excessive_force_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,auroc,-0.00038782237735102143,-0.0029530135918004437,0.0015591065297277853
excessive_force_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,pr_auc,-0.0005964511014935336,-0.002667317125378238,0.0008191156453616697
excessive_force_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,auroc,-0.0004709271724979702,-0.002881597080202991,0.001082293946360424
excessive_force_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,pr_auc,-0.000506542568084356,-0.002423265612490935,0.000647100828895558
boundary_violation_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,auroc,-3.292939936760941e-05,-0.0017460080386247552,0.0016972390987517927
boundary_violation_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,pr_auc,-0.00020929193881957797,-0.00242793425211284,0.001947502260655789
boundary_violation_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,auroc,-0.0009878819810326123,-0.0027774788552596573,0.0006976655382833981
boundary_violation_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,pr_auc,-0.0005299880815918812,-0.0022414584258220903,0.0011954953307773536
high_approach_speed_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,auroc,2.8293345405216996e-05,-1.1102230246251565e-16,0.00016988155756448575
high_approach_speed_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,pr_auc,2.3451057642676076e-05,-1.1102230246251565e-16,0.00013672853386173235
high_approach_speed_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,auroc,2.8293345405216996e-05,-1.1102230246251565e-16,0.00016983695652161845
high_approach_speed_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,pr_auc,2.3451057642676076e-05,-1.1102230246251565e-16,0.0001387034684449672
object_drop_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,auroc,0.0,0.0,0.0
object_drop_rate_within_suite_q25_q75,motion_no_contact,motion_no_contact_plus_submitted_top20,pr_auc,0.0,0.0,0.0
object_drop_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,auroc,0.0,0.0,0.0
object_drop_rate_within_suite_q25_q75,motion_with_contact_upper_bound,motion_with_contact_plus_submitted_top20,pr_auc,0.0,0.0,0.0
