target,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_burden,mean_high_burden,freq_low_burden,freq_high_burden,direction,adjusted_p,significant,composite_score
total_burden_rate_within_suite_q25_q75,14678,12535.0,5.359863610599229e-07,0.29815229563269874,0.29815229563269874,0.04938440024852753,0.05972150340676308,0.9787234042553191,1.0,higher_in_high_burden,0.000130572232958209,True,1.1580679912612972
total_burden_rate_within_suite_q25_q75,12393,21309.5,1.0753847497646389e-08,-0.1931410974244121,0.1931410974244121,0.0022427889052778482,0.00016497616888955235,0.21808510638297873,0.02631578947368421,higher_in_low_burden,3.45895154445389e-05,True,0.8616131591634009
total_burden_rate_within_suite_q25_q75,3787,20835.0,5.5904877356739805e-08,-0.16657334826427772,0.16657334826427772,0.0049138301983475685,0.0001879595365608111,0.18085106382978725,0.015789473684210527,higher_in_low_burden,3.45895154445389e-05,True,0.7430929550691745
total_burden_rate_within_suite_q25_q75,2899,20832.0,5.7647099094484e-08,-0.16640537513997766,0.16640537513997766,0.006646256428211927,0.0003570855187717825,0.18085106382978725,0.015789473684210527,higher_in_low_burden,3.45895154445389e-05,True,0.7423436176354916
total_burden_rate_within_suite_q25_q75,12737,20831.0,5.823944536034097e-08,-0.16634938409854416,0.16634938409854416,0.0032932558096945286,0.0001733895915094763,0.18085106382978725,0.015789473684210527,higher_in_low_burden,3.45895154445389e-05,True,0.7420938384909299
total_burden_rate_within_suite_q25_q75,2203,20824.0,2.8790045247813176e-08,-0.16595744680851054,0.16595744680851054,0.0030262030195444822,8.002606773516163e-05,0.17553191489361702,0.010526315789473684,higher_in_low_burden,3.45895154445389e-05,True,0.7403453844790023
total_burden_rate_within_suite_q25_q75,4244,20821.0,6.449671416999172e-08,-0.1657894736842105,0.1657894736842105,0.006077259313315153,0.0003889574727509171,0.18085106382978725,0.015789473684210527,higher_in_low_burden,3.45895154445389e-05,True,0.7395960470453194
total_burden_rate_within_suite_q25_q75,482,20814.0,6.925930875397552e-08,-0.16539753639417687,0.16539753639417687,0.0056531294248998165,0.00034579477505758405,0.18085106382978725,0.015789473684210527,higher_in_low_burden,3.45895154445389e-05,True,0.7378475930333919
total_burden_rate_within_suite_q25_q75,8132,14814.5,1.4838677513564907e-07,0.1705207166853303,0.1705207166853303,0.0001822785270633176,0.002041473286226392,0.026595744680851064,0.19473684210526315,higher_in_high_burden,5.0052000689986243e-05,True,0.7333377378921231
total_burden_rate_within_suite_q25_q75,15122,15012.0,6.593195555297956e-08,0.15946248600223967,0.15946248600223967,4.0281902329297736e-05,0.001377524808049202,0.010638297872340425,0.16842105263157894,higher_in_high_burden,3.45895154445389e-05,True,0.7113710037099191
total_burden_rate_within_suite_q25_q75,1462,15019.0,7.099330421912203e-08,0.15907054871220605,0.15907054871220605,5.316272654454224e-05,0.0018993786070495844,0.010638297872340425,0.16842105263157894,higher_in_high_burden,3.45895154445389e-05,True,0.7096225496979915
total_burden_rate_within_suite_q25_q75,1219,13808.0,5.73853235932613e-06,0.22687569988801792,0.22687569988801792,0.0041559129022061825,0.010721441358327866,0.24468085106382978,0.4263157894736842,higher_in_high_burden,0.0007797909806403008,True,0.7051346194030998
total_burden_rate_within_suite_q25_q75,0,20736.5,1.0564121398637657e-07,-0.16105823068309078,0.16105823068309078,0.005189096089452505,0.00021519952861126512,0.17553191489361702,0.015789473684210527,higher_in_low_burden,4.632367233302612e-05,True,0.6980581033115388
total_burden_rate_within_suite_q25_q75,14834,20717.5,1.280477552564451e-07,-0.1599944008958567,0.1599944008958567,0.005401429254561663,0.00036169777740724385,0.17553191489361702,0.015789473684210527,higher_in_low_burden,5.0052000689986243e-05,True,0.6880684899119168
total_burden_rate_within_suite_q25_q75,6549,15017.0,2.918287852636315e-07,0.15918253079507283,0.15918253079507283,0.00017384154489263892,0.0013507865369319916,0.02127659574468085,0.17894736842105263,higher_in_high_burden,9.140494452721602e-05,True,0.642943066796329
total_burden_rate_within_suite_q25_q75,2123,13511.5,4.209415816527668e-05,0.24347704367301237,0.24347704367301237,0.026459623128175735,0.034934692084789276,0.8351063829787234,0.9631578947368421,higher_in_high_burden,0.0024611051140631763,True,0.6351999152738615
