target,method,n,positives,negatives,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high,mean_pairwise_top20_overlap,fold_selected_features
total_burden_rate_within_suite_q25_q75,suite_id_only,378,190,188,0.4398936170212766,0.38547904966195345,0.5006759946466127,0.46045588616958105,0.40401112768959824,0.5269205513366202,,
total_burden_rate_within_suite_q25_q75,submitted_top20_sae,378,190,188,0.514991601343785,0.45736716615137496,0.5720728131325984,0.5381631190697486,0.4757047446250511,0.6019600356011783,,
total_burden_rate_within_suite_q25_q75,nested_train_top20_sae,378,190,188,0.7626539753639417,0.7151205184782591,0.8058387867203956,0.7872221403267308,0.7318833859358778,0.8375414708549462,15.0,"[[1219, 6629, 2899, 12737, 14678, 1462, 3787, 2203, 9900, 482, 2147, 15122, 8132, 10856, 14834, 1021, 4244, 10472, 6564, 0], [14678, 6629, 2899, 12737, 2203, 3787, 11767, 1462, 8113, 9900, 8132, 482, 4244, 10472, 10856, 0, 4823, 2123, 6564, 9668], [14678, 9900, 1219, 12326, 12393, 8132, 11767, 1462, 8113, 2899, 6629, 12737, 7671, 2203, 3787, 482, 1021, 15959, 4244, 0], [2899, 12737, 6629, 482, 1219, 4244, 8132, 3787, 2147, 0, 2203, 14678, 4823, 9900, 10856, 1462, 9423, 1021, 14834, 10767], [14678, 11767, 2899, 12737, 6629, 9900, 1219, 2203, 8113, 3787, 16008, 482, 1462, 4244, 12326, 0, 9668, 10856, 8132, 10472]]"
total_burden_rate_within_suite_q25_q75,full_sae_ridge,378,190,188,0.8956047032474805,0.862697013360318,0.9236569905129166,0.8977621424889508,0.8561821506608275,0.933260616224252,,
total_burden_rate_within_suite_q25_q75,raw_pca20_lr,378,190,188,0.9063269876819708,0.874968126082281,0.932700408506212,0.9217459896293957,0.8915472803988818,0.946802228350617,,
total_burden_rate_within_suite_q25_q75,motion_no_contact,378,190,188,0.8640257558790594,0.8254089506681793,0.8989131538710918,0.84575473083295,0.7869507254696754,0.8992142796394886,,
total_burden_rate_within_suite_q25_q75,motion_no_contact_plus_submitted_top20,378,190,188,0.8658454647256439,0.8257724073410421,0.9024003224607113,0.8554594629096228,0.802277774275581,0.9039613281538805,,
total_burden_rate_within_suite_q25_q75,motion_with_contact_upper_bound,378,190,188,0.867525195968645,0.8291169702644422,0.9033972998101168,0.8512180087963389,0.7957528189487015,0.9038871272978868,,
total_burden_rate_within_suite_q25_q75,motion_with_contact_plus_submitted_top20,378,190,188,0.86993281075028,0.8352272481944418,0.9051718835700989,0.8606931751853333,0.8133063482920498,0.9063223681724136,,
collision_rate_within_suite_q25_q75,suite_id_only,377,189,188,0.4353821907013396,0.3782257359379291,0.4933590531996723,0.45539433872708623,0.3979401749676558,0.5242841123208472,,
collision_rate_within_suite_q25_q75,submitted_top20_sae,377,189,188,0.5346448271980186,0.47751066958337685,0.5933619249453946,0.5185063834973309,0.45631135574063486,0.584063286711333,,
collision_rate_within_suite_q25_q75,nested_train_top20_sae,377,189,188,0.7342395587076438,0.6820125635909768,0.7811456194508362,0.7433915584798304,0.6909204731361871,0.796460750210879,16.0,"[[11915, 13452, 4431, 8132, 10526, 1642, 12732, 6629, 4689, 12230, 401, 15020, 9175, 2178, 2924, 2858, 12955, 1462, 7801, 5876], [13452, 4431, 10526, 8132, 15020, 6629, 4689, 12955, 11915, 1642, 12230, 12732, 1462, 1021, 15098, 4292, 5876, 9175, 2178, 9900], [4431, 4689, 11915, 12230, 10526, 8132, 13452, 401, 1642, 12955, 15020, 15098, 2858, 6629, 9175, 12732, 2178, 1021, 11686, 4333], [13452, 8132, 4431, 12732, 10526, 4689, 15020, 12230, 1642, 11915, 12955, 5876, 1021, 2858, 2178, 9175, 401, 9900, 6629, 15857], [4431, 13452, 11915, 12230, 10526, 12955, 1642, 4689, 8132, 12732, 5876, 6629, 1462, 4292, 15020, 12667, 2858, 238, 2178, 1675]]"
collision_rate_within_suite_q25_q75,full_sae_ridge,377,189,188,0.8896769109535066,0.855398752965434,0.9208770693732755,0.8810474036605944,0.8305351046312993,0.9277319197259986,,
collision_rate_within_suite_q25_q75,raw_pca20_lr,377,189,188,0.9027355623100305,0.8717871106434936,0.9296578562179811,0.91189652027255,0.8802139942609966,0.9399517924313959,,
collision_rate_within_suite_q25_q75,motion_no_contact,377,189,188,0.8886918833727344,0.8511379742630069,0.9221741028674441,0.8427471063695304,0.7774329831067114,0.9070977191833642,,
collision_rate_within_suite_q25_q75,motion_no_contact_plus_submitted_top20,377,189,188,0.8882697286952604,0.8523719346466038,0.9219274510411154,0.8421577916906978,0.7794921543238763,0.9064202581888371,,
