heldout_suite,method,n_train,n_test,test_positives,test_negatives,auroc,pr_auc,selected_features
goal,motion,200,174,45,129,1.0,1.0000000000000002,
goal,nested_top20_sae,200,174,45,129,0.22187769164513352,0.16818311003746317,"f11471,f16041,f1972,f2030,f7723,f15966,f10609,f13864,f1457,f9764,f15582,f5850,f9086,f15872,f9215,f9412,f15118,f778,f2768,f14525"
goal,full_sae,200,174,45,129,0.7915590008613265,0.43765365278911245,
goal,raw_lr,200,174,45,129,0.887510766580534,0.7709411173783134,
goal,raw_pca20_lr,200,174,45,129,0.9012919896640827,0.7595196927426786,
long,motion,330,44,12,32,0.828125,0.796862343239155,
long,nested_top20_sae,330,44,12,32,0.39713541666666663,0.23162448137085817,"f3154,f9998,f2030,f11471,f11183,f1972,f7723,f16041,f3099,f10609,f9215,f15966,f6431,f15118,f1457,f11070,f8150,f9794,f1528,f4949"
long,full_sae,330,44,12,32,0.47395833333333337,0.2978518375316201,
long,raw_lr,330,44,12,32,0.7265625,0.4731583231583232,
long,raw_pca20_lr,330,44,12,32,0.7057291666666667,0.43393398289876617,
object,motion,232,142,125,17,0.9957647058823529,0.9994223014976699,
object,nested_top20_sae,232,142,125,17,0.4752941176470588,0.8858076115239105,"f3154,f11552,f10572,f9998,f15361,f15799,f7505,f1548,f16031,f15909,f1856,f4949,f8150,f981,f3887,f6821,f7968,f14781,f5981,f11942"
object,full_sae,232,142,125,17,0.7665882352941176,0.9645233477341578,
object,raw_lr,232,142,125,17,0.7694117647058824,0.9610590673332429,
object,raw_pca20_lr,232,142,125,17,0.7491764705882352,0.9602922026896676,
spatial,motion,360,14,5,9,0.9111111111111112,0.885,
spatial,nested_top20_sae,360,14,5,9,0.4,0.3732034632034632,"f3154,f2030,f11471,f7723,f9998,f1972,f16041,f10609,f9215,f11183,f15966,f11070,f9794,f1457,f1528,f3099,f15118,f7307,f15872,f14525"
spatial,full_sae,360,14,5,9,0.7333333333333334,0.6585281385281385,
spatial,raw_lr,360,14,5,9,0.5777777777777778,0.5321789321789321,
spatial,raw_pca20_lr,360,14,5,9,0.6222222222222222,0.4411111111111111,
