target,method,auroc,n,positives,negatives
success,geometry_only,0.6672093780527515,120,83,37
success,geometry_plus_object_motion,0.9244545750569847,120,83,37
success,submitted_top20_sae,0.47085639856724193,120,83,37
success,submitted_top20_sae_plus_geometry,0.6076196678606317,120,83,37
success,full_sae_lr,0.9680885704982091,120,83,37
success,full_sae_pca20,0.9088244871377401,120,83,37
success,raw_lr,0.9759036144578314,120,83,37
success,raw_pca20,0.9654835558450017,120,83,37
reward_positive,geometry_only,0.6672093780527515,120,83,37
reward_positive,geometry_plus_object_motion,0.9244545750569847,120,83,37
reward_positive,submitted_top20_sae,0.47085639856724193,120,83,37
reward_positive,submitted_top20_sae_plus_geometry,0.6076196678606317,120,83,37
reward_positive,full_sae_lr,0.9680885704982091,120,83,37
reward_positive,full_sae_pca20,0.9088244871377401,120,83,37
reward_positive,raw_lr,0.9759036144578314,120,83,37
reward_positive,raw_pca20,0.9654835558450017,120,83,37
object_lift,geometry_only,0.5795200892857143,120,64,56
object_lift,geometry_plus_object_motion,0.9997209821428571,120,64,56
object_lift,submitted_top20_sae,0.41768973214285715,120,64,56
object_lift,submitted_top20_sae_plus_geometry,0.5072544642857142,120,64,56
object_lift,full_sae_lr,0.9637276785714285,120,64,56
object_lift,full_sae_pca20,0.94921875,120,64,56
object_lift,raw_lr,0.9907924107142856,120,64,56
object_lift,raw_pca20,0.9751674107142858,120,64,56
semantic_any,geometry_only,0.6572622779519331,120,87,33
semantic_any,geometry_plus_object_motion,0.9380006966213863,120,87,33
semantic_any,submitted_top20_sae,0.47579240682688956,120,87,33
semantic_any,submitted_top20_sae_plus_geometry,0.5471960989202368,120,87,33
semantic_any,full_sae_lr,0.9487983281086729,120,87,33
semantic_any,full_sae_pca20,0.9292929292929293,120,87,33
semantic_any,raw_lr,0.9644723092998955,120,87,33
semantic_any,raw_pca20,0.8996865203761755,120,87,33
