target,method,auroc,auroc_ci95_low,auroc_ci95_high,n,positives,negatives
success,geometry_only,0.6672093780527515,0.5435073505523067,0.7837671426334216,120,83,37
success,geometry_plus_object_motion,0.9244545750569847,0.8718396164021164,0.968758877840909,120,83,37
success,submitted_top20_sae,0.47085639856724193,0.35925957592339264,0.5889195522359584,120,83,37
success,submitted_top20_sae_plus_geometry,0.6076196678606317,0.484475581889375,0.7255007275132276,120,83,37
success,full_sae_lr,0.9680885704982091,0.9395912414545085,0.98982592383395,120,83,37
success,full_sae_pca20,0.9088244871377401,0.8401783594432216,0.9607395666756743,120,83,37
success,raw_lr,0.9759036144578314,0.9523769841269842,0.9928990208711677,120,83,37
success,raw_pca20,0.9654835558450017,0.9311344637667298,0.9913657113598795,120,83,37
reward_positive,geometry_only,0.6672093780527515,0.5435073505523067,0.7837671426334216,120,83,37
reward_positive,geometry_plus_object_motion,0.9244545750569847,0.8718396164021164,0.968758877840909,120,83,37
reward_positive,submitted_top20_sae,0.47085639856724193,0.35925957592339264,0.5889195522359584,120,83,37
reward_positive,submitted_top20_sae_plus_geometry,0.6076196678606317,0.484475581889375,0.7255007275132276,120,83,37
reward_positive,full_sae_lr,0.9680885704982091,0.9395912414545085,0.98982592383395,120,83,37
reward_positive,full_sae_pca20,0.9088244871377401,0.8401783594432216,0.9607395666756743,120,83,37
reward_positive,raw_lr,0.9759036144578314,0.9523769841269842,0.9928990208711677,120,83,37
reward_positive,raw_pca20,0.9654835558450017,0.9311344637667298,0.9913657113598795,120,83,37
object_lift,geometry_only,0.5795200892857143,0.4683759022173073,0.6916859933035714,120,64,56
object_lift,geometry_plus_object_motion,0.9997209821428571,0.9983216783216784,1.0,120,64,56
object_lift,submitted_top20_sae,0.41768973214285715,0.31743954627626025,0.5193263968000807,120,64,56
object_lift,submitted_top20_sae_plus_geometry,0.5072544642857142,0.4046078084197779,0.6153223518525969,120,64,56
object_lift,full_sae_lr,0.9637276785714285,0.9146648190045249,0.9988738160402503,120,64,56
object_lift,full_sae_pca20,0.94921875,0.8943254976391796,0.9944429008057794,120,64,56
object_lift,raw_lr,0.9907924107142856,0.9769917061413709,0.9994419642857143,120,64,56
object_lift,raw_pca20,0.9751674107142858,0.9514047001591759,0.9924916573971079,120,64,56
semantic_any,geometry_only,0.6572622779519331,0.5252532851483377,0.7780471937630805,120,87,33
semantic_any,geometry_plus_object_motion,0.9380006966213863,0.8866590327029158,0.974452449562579,120,87,33
semantic_any,submitted_top20_sae,0.47579240682688956,0.35948227832359164,0.5972286339962121,120,87,33
semantic_any,submitted_top20_sae_plus_geometry,0.5471960989202368,0.4197084524670731,0.6758523936684855,120,87,33
semantic_any,full_sae_lr,0.9487983281086729,0.9096277571634714,0.9788888888888889,120,87,33
semantic_any,full_sae_pca20,0.9292929292929293,0.8788703703703704,0.9680677604809427,120,87,33
semantic_any,raw_lr,0.9644723092998955,0.9322813797020146,0.9871796875000001,120,87,33
semantic_any,raw_pca20,0.8996865203761755,0.8363307745068832,0.951468045112782,120,87,33
