phase,feature_idx,n_phase_steps,n_other_steps,mean_activation_phase,mean_activation_other,delta_phase_minus_other,ratio_phase_over_other
contact_force_high,1457,10036,14028,0.002258831749259297,0.004167660437062242,-0.0019088286878029452,0.5419903524701579
contact_force_high,1528,10036,14028,0.0022723818795095524,0.004292619831027266,-0.002020237951517714,0.529369468753013
contact_force_high,1972,10036,14028,0.0033528766907185864,0.006303833466286643,-0.0029509567755680566,0.5318790080115557
contact_force_high,3154,10036,14028,0.009182570508657853,0.004291818565910771,0.004890751942747082,2.1395523523742463
contact_force_high,3212,10036,14028,0.006653628772701482,0.000987257476362801,0.005666371296338681,6.73950710124213
contact_force_high,5981,10036,14028,0.01226742469325911,0.001782530944609586,0.010484893748649525,6.882026216911455
contact_force_high,8150,10036,14028,0.004726815873726567,0.0013789432346374688,0.0033478726390890985,3.427853848508326
contact_force_high,9215,10036,14028,0.005750905911223989,0.011320593565440065,-0.005569687654216076,0.5080039202874107
contact_force_high,9998,10036,14028,0.00853371558430311,0.0031088886126325634,0.005424826971670547,2.744940925071252
contact_force_high,10609,10036,14028,0.0040185026837094885,0.0077819655031137885,-0.0037634628194043,0.516386596946693
contact_force_high,11070,10036,14028,0.003646476339584461,0.006687080868622615,-0.0030406045290381537,0.5453016661866019
contact_force_high,11183,10036,14028,0.003246206075291607,0.005308972410116762,-0.002062766334825155,0.6114565728587412
contact_force_high,11471,10036,14028,0.0034400844141386595,0.006445374993364679,-0.0030052905792260194,0.5337291340969491
contact_force_high,13328,10036,14028,0.006520320867749147,0.0022052314181182464,0.004315089449630901,2.9567513024610474
contact_force_high,14915,10036,14028,0.0022141544611203262,0.004153498815436852,-0.0019393443543165257,0.5330817605848885
contact_force_high,15030,10036,14028,0.002786240418508037,0.006301995899659983,-0.003515755481151946,0.4421203159872518
contact_force_high,15118,10036,14028,0.002668924038563831,0.004452385027389118,-0.0017834609888252874,0.5994369359670787
contact_force_high,15790,10036,14028,0.006619501959450095,0.0017203584614538861,0.004899143497996208,3.847745750531497
contact_force_high,15872,10036,14028,0.002429576075441717,0.00465441040061616,-0.0022248343251744435,0.5219943808822884
contact_force_high,15966,10036,14028,0.002363659527216622,0.005410044756777731,-0.003046385229561109,0.43690202826056435
early_third,1457,8272,15792,0.003972419964647681,0.003056846384188819,0.0009155735804588618,1.2995157313741899
early_third,1528,8272,15792,0.002549901546219569,0.003921587508996966,-0.001371685962777397,0.6502217636019969
early_third,1972,8272,15792,0.004257966979313101,0.005500110402750937,-0.0012421434234378354,0.774160274525296
early_third,3154,8272,15792,0.002251183770856382,0.008468852350238254,-0.0062176685793818715,0.2658192252924388
early_third,3212,8272,15792,0.002297958317690131,0.0039017448731836803,-0.0016037865554935494,0.5889565802940574
early_third,5981,8272,15792,0.003905770291864324,0.0073336300948727215,-0.0034278598030083973,0.5325834874866443
