feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
random20_high_class_mean_00,True,goal,5,clean,6,1,1,1,1,1,1,0.09829743206501007,0.08851394057273865,0.028746699914336205,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_00,True,goal,5,strong,7,0,0,1,1,1,1,0.6271486282348633,0.6138961315155029,0.08947590738534927,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_00,True,goal,5,mild,9,0,0,1,1,1,1,0.6802202463150024,0.6637837290763855,0.10848406702280045,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_00,True,goal,5,clean,10,1,1,1,1,1,1,0.09829743206501007,0.08851394057273865,0.028746699914336205,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_00,True,goal,5,clean,16,1,1,1,1,1,1,0.09829743206501007,0.08851394057273865,0.028746699914336205,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_00,True,goal,5,strong,17,0,0,1,1,1,1,0.6271486282348633,0.6138961315155029,0.08947590738534927,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_00,True,long,1,clean,1,0,0,1,1,1,1,0.4175020456314087,0.264810174703598,0.061737820506095886,0.1720000058412552,0.9615384615384616,0,0,0
random20_high_class_mean_00,True,long,1,clean,2,0,0,1,1,1,1,0.4175020456314087,0.264810174703598,0.061737820506095886,0.1720000058412552,0.9615384615384616,0,0,0
random20_high_class_mean_00,True,long,1,clean,5,0,0,1,1,1,1,0.4175020456314087,0.264810174703598,0.061737820506095886,0.1720000058412552,0.9615384615384616,0,0,0
random20_high_class_mean_00,True,long,1,clean,8,0,0,1,1,1,1,0.4175020456314087,0.264810174703598,0.061737820506095886,0.1720000058412552,0.9615384615384616,0,0,0
random20_high_class_mean_00,True,long,1,mild,15,0,0,1,1,1,1,1.2823050022125244,0.24723666906356812,0.0431223139166832,1.1545220613479614,0.9615384615384616,0,0,0
random20_high_class_mean_00,True,long,1,clean,20,0,0,1,1,1,1,0.4175020456314087,0.264810174703598,0.061737820506095886,0.1720000058412552,0.9615384615384616,0,0,0
random20_high_class_mean_00,True,long,1,clean,22,0,0,1,1,1,1,0.4175020456314087,0.264810174703598,0.061737820506095886,0.1720000058412552,0.9615384615384616,0,0,0
random20_high_class_mean_00,True,long,6,clean,11,0,1,1,1,1,1,1.1618051528930664,0.5164698362350464,0.08061843365430832,0.849056601524353,0.9408284023668639,1,0,0
random20_high_class_mean_00,True,long,6,clean,12,0,1,1,1,1,1,1.1618051528930664,0.5164698362350464,0.08061843365430832,0.849056601524353,0.9408284023668639,1,0,0
random20_high_class_mean_00,True,long,6,clean,14,0,1,1,1,1,1,1.1618051528930664,0.5164698362350464,0.08061843365430832,0.849056601524353,0.9408284023668639,1,0,0
random20_high_class_mean_00,True,spatial,1,mild,0,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,3,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,4,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,13,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,18,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,19,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,21,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,23,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_01,True,goal,5,clean,6,1,1,1,1,1,1,0.2627353370189667,0.2484145164489746,0.05268124118447304,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_01,True,goal,5,strong,7,0,0,1,1,1,1,0.6253721714019775,0.6110265851020813,0.0971970185637474,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_01,True,goal,5,mild,9,0,0,1,1,1,1,0.7015388607978821,0.6855788826942444,0.10062628984451294,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_01,True,goal,5,clean,10,1,1,1,1,1,1,0.2627353370189667,0.2484145164489746,0.05268124118447304,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_01,True,goal,5,clean,16,1,1,1,1,1,1,0.2627353370189667,0.2484145164489746,0.05268124118447304,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_01,True,goal,5,strong,17,0,0,1,1,1,1,0.6253721714019775,0.6110265851020813,0.0971970185637474,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_01,True,long,1,clean,1,0,1,1,1,1,1,0.7275781631469727,0.38145768642425537,0.05374972149729729,0.47148290276527405,0.9293286219081273,1,0,0
random20_high_class_mean_01,True,long,1,clean,2,0,1,1,1,1,1,0.7275781631469727,0.38145768642425537,0.05374972149729729,0.47148290276527405,0.9293286219081273,1,0,0
random20_high_class_mean_01,True,long,1,clean,5,0,1,1,1,1,1,0.7275781631469727,0.38145768642425537,0.05374972149729729,0.47148290276527405,0.9293286219081273,1,0,0
random20_high_class_mean_01,True,long,1,clean,8,0,1,1,1,1,1,0.7275781631469727,0.38145768642425537,0.05374972149729729,0.47148290276527405,0.9293286219081273,1,0,0
random20_high_class_mean_01,True,long,1,mild,15,0,0,1,1,1,1,1.1764869689941406,0.2317986786365509,0.04032019153237343,1.0400781631469727,0.9615384615384616,0,0,0
random20_high_class_mean_01,True,long,1,clean,20,0,1,1,1,1,1,0.7275781631469727,0.38145768642425537,0.05374972149729729,0.47148290276527405,0.9293286219081273,1,0,0
