feature_set,suite,task_idx,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high
random20_high_class_mean_00,goal,5,6,0.5,0.5,0.0,1.0,1.0,0.0,0.37156829982995987,0.3595196356376012,0.0622793302560846,0.0,0.0,0.0,0.0,0.0,0.18643929064273834,0.5655425786972046
random20_high_class_mean_00,long,1,7,0.0,0.0,0.0,1.0,1.0,0.0,0.5410453251429966,0.26229967389787945,0.059078462421894073,0.3123602994850704,0.0,0.0,0.0,0.0,0.4175019860267639,0.788131833076477
random20_high_class_mean_00,long,6,3,0.0,1.0,1.0,1.0,1.0,0.0,1.1618051528930664,0.5164698362350464,0.08061843365430832,0.849056601524353,1.0,1.0,0.0,0.0,1.1618051528930664,1.1618051528930664
random20_high_class_mean_00,spatial,1,8,1.0,1.0,0.0,1.0,1.0,0.0,0.3930031657218933,0.32483023032546043,0.061813484877347946,0.0696577331982553,0.0,0.0,0.0,0.0,0.36629658937454224,0.4108075499534607
random20_high_class_mean_01,goal,5,6,0.5,0.5,0.0,1.0,1.0,0.0,0.45674820244312286,0.4421459337075551,0.07551067508757114,0.0,0.0,0.0,0.0,0.0,0.3231748044490814,0.6030160188674927
random20_high_class_mean_01,long,1,7,0.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.0,0.7917079925537109,0.360077828168869,0.05183121721659388,0.5527107971055167,0.5714285969734192,1.0,0.0,0.0,0.7275781631469727,0.9199676513671875
random20_high_class_mean_01,long,6,3,0.0,1.0,1.0,1.0,1.0,0.0,1.0242582559585571,0.5418719053268433,0.06805220991373062,0.6881720423698425,1.0,1.0,0.0,0.0,1.0242582559585571,1.0242582559585571
random20_high_class_mean_01,spatial,1,8,0.375,1.0,0.625,1.0,1.0,0.0,0.3514552675187588,0.2927240952849388,0.06707199942320585,0.05445647588931024,0.25,0.878125011920929,0.0,0.0,0.32431262731552124,0.36955034732818604
random20_high_class_mean_02,goal,5,6,0.5,0.5,0.0,1.0,1.0,0.0,0.5410516262054443,0.5244189302126566,0.09257198870182037,0.0,0.0,0.0,0.0,0.0,0.44041192531585693,0.650589644908905
random20_high_class_mean_02,long,1,7,0.0,1.0,1.0,1.0,1.0,0.0,0.9161859750747681,0.4816076968397413,0.050867955067328045,0.585105129650661,1.0,1.0,0.0,0.0,0.8760886788368225,0.9963803887367249
random20_high_class_mean_02,long,6,3,0.0,0.0,0.0,1.0,1.0,0.0,0.3977738618850708,0.2861294746398926,0.10140430927276611,0.09200000017881393,0.0,0.0,0.0,0.0,0.3977738618850708,0.3977738618850708
random20_high_class_mean_02,spatial,1,8,0.375,1.0,0.625,1.0,1.0,0.0,0.2777860425412655,0.2173570580780506,0.056028702296316624,0.051754558458924294,0.25,0.875,0.0,0.0,0.2453390657901764,0.2994173765182495
top20_high_class_mean,goal,5,6,0.5,0.5,0.0,1.0,1.0,0.0,0.5609190613031387,0.5486806581417719,0.07870482529203097,0.0,0.0,0.0,0.0,0.0,0.42283889651298523,0.7032281756401062
top20_high_class_mean,long,1,7,0.0,1.0,1.0,1.0,1.0,0.0,0.6602022733007159,0.3599592787878854,0.04945021867752075,0.38633255447660175,1.0,1.0,0.0,0.0,0.6143560409545898,0.7518947720527649
top20_high_class_mean,long,6,3,0.0,0.0,0.0,1.0,1.0,0.0,0.8756924271583557,0.5811230540275574,0.09277883917093277,0.4000000059604645,0.0,0.0,0.0,0.0,0.8756924271583557,0.8756924271583557
top20_high_class_mean,spatial,1,8,1.0,1.0,0.0,1.0,0.375,-0.625,0.22670886665582657,0.19247043505311012,0.0543237691745162,0.024192828219383955,0.0,0.0,-0.875,-0.25,0.2133830487728119,0.24003468453884125
