feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step
top20_high_class_mean,0,10609,0.011282430926865721,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,1,11471,0.009252140228761039,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,2,1972,0.00894449008778133,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,3,9215,0.014447520218072376,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,4,11070,0.008838456151459116,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,5,3154,0.0002127733519848647,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,6,11183,0.007229206167201272,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,7,9998,0.00026112531540905187,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,8,15966,0.008885119432822474,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,9,1528,0.006074793060325095,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,10,5981,0.0006296324125306754,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,11,15118,0.006216161149768076,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,12,14915,0.005680670191030821,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,13,1457,0.006325921712363517,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,14,8150,0.0002577577114981749,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,15,13328,0.000859771277456675,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,16,15790,0.0003695259602830022,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,17,15872,0.005843030515420693,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,18,3212,0.00015505437146533528,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,19,15030,0.006775799701687536,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
random20_high_class_mean_00,0,12521,9.287631432998771e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,1,11660,1.6262153422529412e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,2,3099,0.006254223008505611,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,3,15895,0.00016793270002711874,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,4,13709,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,5,12374,0.0002690966734114786,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,6,1894,6.906864268177272e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,7,1239,9.431427763027755e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,8,10555,0.0060449377820393484,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,9,8216,0.0001262444317998246,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,10,7002,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,11,1189,7.837033646310588e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,12,7285,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,13,13905,0.00017892060064297115,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,14,1291,0.0006229739392146326,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,15,12044,9.496018843336684e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,16,12797,0.0001687444036796599,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,17,7070,0.00013551688728166738,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,18,11330,0.0002966029818523369,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,19,8466,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
