feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step
top20_high_class_mean,0,10609,0.0112824309268657,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,1,11471,0.009252140228761,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,2,1972,0.0089444900877813,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,3,9215,0.0144475202180723,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,4,11070,0.0088384561514591,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,5,3154,0.0002127733519848,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,6,11183,0.0072292061672012,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,7,9998,0.000261125315409,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,8,15966,0.0088851194328224,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,9,1528,0.006074793060325,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,10,5981,0.0006296324125306,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,11,15118,0.006216161149768,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,12,14915,0.0056806701910308,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,13,1457,0.0063259217123635,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,14,8150,0.0002577577114981,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,15,13328,0.0008597712774566,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,16,15790,0.000369525960283,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,17,15872,0.0058430305154206,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,18,3212,0.0001550543714653,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
top20_high_class_mean,19,15030,0.0067757997016875,1.0,class_mean_set,set_low_progress_toward_high_progress_mean,0,always,20
random20_high_class_mean_00,0,12521,9.287631432998772e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,1,11660,1.6262153422529412e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,2,3099,0.0062542230085056,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,3,15895,0.0001679327000271,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,4,13709,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,5,12374,0.0002690966734114,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,6,1894,6.906864268177272e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,7,1239,9.431427763027756e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,8,10555,0.0060449377820393,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,9,8216,0.0001262444317998,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,10,7002,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,11,1189,7.837033646310588e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,12,7285,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,13,13905,0.0001789206006429,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,14,1291,0.0006229739392146,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,15,12044,9.496018843336684e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,16,12797,0.0001687444036796,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,17,7070,0.0001355168872816,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,18,11330,0.0002966029818523,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_00,19,8466,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
