feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
random20_high_class_mean_01,0,10883,8.21622536781631e-05,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,1,12281,0.0,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,2,963,1.1359248061310694e-05,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,3,14495,7.71558196109556e-05,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,4,7610,0.0,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,5,12667,0.0002080647718101,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,6,11333,0.000115959802991,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,7,2536,0.0,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,8,7188,0.0011452640055673,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,9,2990,3.205314104290856e-05,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,10,10136,0.0004613080440477,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,11,2352,0.0026069909501023,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,12,12355,0.0,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,13,5812,0.0,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,14,642,1.53717193951738e-05,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,15,8011,0.0008840941286142,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,16,15786,0.0,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,17,12148,0.0001243073206873,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,18,8807,6.77731518140599e-05,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
random20_high_class_mean_01,19,6024,4.562092845372888e-05,1.0,random_class_mean_set_spatial1_violation_replication,random_set_to_high_progress_mean,1,always,20,spatial:1
