feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
top20_high_class_mean,0,10609,0.0112824309268657,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,1,11471,0.009252140228761,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,2,1972,0.0089444900877813,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,3,9215,0.0144475202180723,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,4,11070,0.0088384561514591,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,5,3154,0.0002127733519848,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,6,11183,0.0072292061672012,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,7,9998,0.000261125315409,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,8,15966,0.0088851194328224,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,9,1528,0.006074793060325,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,10,5981,0.0006296324125306,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,11,15118,0.006216161149768,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,12,14915,0.0056806701910308,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,13,1457,0.0063259217123635,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,14,8150,0.0002577577114981,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,15,13328,0.0008597712774566,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,16,15790,0.000369525960283,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,17,15872,0.0058430305154206,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,18,3212,0.0001550543714653,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
top20_high_class_mean,19,15030,0.0067757997016875,1.0,class_mean_set_spatial1_violation_replication,set_low_progress_toward_high_progress_mean,0,always,20,spatial:1
