feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
top20_class_mean_0p5,False,spatial,1,clean,0,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,1,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,2,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,mild,3,1,1,1,1,1,1,0.2672630548477173,0.2525598406791687,0.05979520455002785,0.0,0.801980198019802,0,0,0
top20_class_mean_0p5,False,spatial,1,mild,4,1,1,1,1,1,1,0.2672630548477173,0.2525598406791687,0.05979520455002785,0.0,0.801980198019802,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,5,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,6,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,mild,7,1,1,1,1,1,1,0.2672630548477173,0.2525598406791687,0.05979520455002785,0.0,0.801980198019802,0,0,0
top20_class_mean_0p5,False,spatial,1,mild,8,1,1,1,1,1,1,0.2672630548477173,0.2525598406791687,0.05979520455002785,0.0,0.801980198019802,0,0,0
top20_class_mean_0p5,False,spatial,1,mild,9,1,1,1,1,1,1,0.2672630548477173,0.2525598406791687,0.05979520455002785,0.0,0.801980198019802,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,10,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,mild,11,1,1,1,1,1,1,0.2672630548477173,0.2525598406791687,0.05979520455002785,0.0,0.801980198019802,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,12,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,13,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,14,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
top20_class_mean_0p5,False,spatial,1,clean,15,1,1,1,1,1,1,0.2950342297554016,0.239732563495636,0.058228857815265656,0.04878048598766327,0.803921568627451,0,0,0
