feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
random20_high_class_mean_00,True,spatial,1,clean,0,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,1,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,2,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,3,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,4,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,5,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,6,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,7,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,8,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,9,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
