feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
random10_high_class_mean_00,True,goal,4,strong,17,0,0,1,1,0,1,1.3194891214370728,0.8091285824775696,0.06750495731830597,0.7719941139221191,0.9333333333333333,0,0,1
random10_high_class_mean_00,True,goal,5,mild,5,0,0,1,1,1,1,0.6381047368049622,0.5904062986373901,0.10350286960601807,0.042001888155937195,0.9333333333333333,0,0,0
random10_high_class_mean_00,True,goal,6,clean,10,1,1,1,1,1,1,0.506538450717926,0.22924795746803284,0.0360356904566288,0.31460675597190857,0.8165137614678899,0,0,0
random10_high_class_mean_00,True,goal,8,clean,19,1,1,0,1,0,1,0.1369282454252243,0.13045737147331238,0.028627930209040642,0.0,0.7959183673469388,0,1,1
random10_high_class_mean_00,True,long,0,clean,2,0,0,1,1,0,1,1.0127712488174438,0.501909613609314,0.0,0.6600000262260437,0.9615384615384616,0,0,1
random10_high_class_mean_00,True,long,0,clean,15,0,0,1,1,0,1,1.0127712488174438,0.501909613609314,0.0,0.6600000262260437,0.9615384615384616,0,0,1
random10_high_class_mean_00,True,long,1,clean,6,0,0,1,1,0,0,0.724446713924408,0.6530611515045166,0.0,0.1080000028014183,0.9615384615384616,0,0,0
random10_high_class_mean_00,True,long,2,clean,20,0,0,1,1,1,1,0.8978449106216431,0.8855035901069641,0.0,0.01600000075995922,0.9615384615384616,0,0,0
random10_high_class_mean_00,True,long,2,clean,22,0,0,1,1,1,1,0.8978449106216431,0.8855035901069641,0.0,0.01600000075995922,0.9615384615384616,0,0,0
random10_high_class_mean_00,True,long,4,strong,23,0,0,1,1,0,1,0.3919292688369751,0.3428947627544403,0.0,0.06232158839702606,0.9615384615384616,0,0,1
random10_high_class_mean_00,True,long,6,clean,0,0,0,1,1,1,1,0.4251859784126282,0.3294724225997925,0.0,0.1120000034570694,0.9615384615384616,0,0,0
random10_high_class_mean_00,True,object,2,clean,7,1,1,1,1,1,1,0.7649742960929871,0.49744394421577454,0.04481571540236473,0.35483869910240173,0.8611111111111112,0,0,0
random10_high_class_mean_00,True,object,2,mild,13,1,1,1,1,1,1,1.061111330986023,0.5834655165672302,0.05277622118592262,0.6917614936828613,0.8333333333333334,0,0,0
random10_high_class_mean_00,True,object,5,clean,9,1,1,1,1,0,0,0.21491076052188873,0.11422056704759598,0.025951992720365524,0.13008129596710205,0.8601398601398601,0,0,0
random10_high_class_mean_00,True,object,7,clean,16,1,1,1,1,0,0,0.28626707196235657,0.16410769522190094,0.047068171203136444,0.13725490868091583,0.8360655737704918,0,0,0
random10_high_class_mean_00,True,object,8,strong,11,0,0,1,1,1,1,0.31391966342926025,0.108657605946064,0.02312701940536499,0.23829953372478485,0.9285714285714286,0,0,0
random10_high_class_mean_00,True,object,8,mild,12,0,0,1,1,1,0,1.000154972076416,0.44747790694236755,0.0575568862259388,0.6375440955162048,0.9285714285714286,0,0,-1
random10_high_class_mean_00,True,spatial,1,clean,1,1,1,1,1,1,1,0.3269907236099243,0.2300458401441574,0.05080029368400574,0.09638553857803345,0.8058252427184466,0,0,0
random10_high_class_mean_00,True,spatial,1,mild,4,1,1,0,1,0,1,0.2311045527458191,0.1905708909034729,0.05036265403032303,0.026899438351392746,0.7849462365591398,0,1,1
random10_high_class_mean_00,True,spatial,6,clean,8,1,1,1,1,1,1,0.2325628399848938,0.16525743901729584,0.060195837169885635,0.04878048598766327,0.803921568627451,0,0,0
random10_high_class_mean_00,True,spatial,6,mild,21,1,1,1,1,1,1,0.037232451140880585,0.034988440573215485,0.008733457885682583,0.0,0.8076923076923077,0,0,0
random10_high_class_mean_00,True,spatial,7,clean,18,0,0,1,1,1,1,0.7761022448539734,0.2540479600429535,0.0656822994351387,0.5600000023841858,0.9090909090909091,0,0,0
random10_high_class_mean_00,True,spatial,8,clean,3,1,1,1,1,1,1,0.29039689898490906,0.19180576503276825,0.05512476712465286,0.0941176488995552,0.8095238095238095,0,0,0
random10_high_class_mean_00,True,spatial,8,strong,14,0,0,1,1,1,1,1.322270154953003,0.43639153242111206,0.07788057625293732,1.1386321783065796,0.9090909090909091,0,0,0
random10_high_class_mean_01,True,goal,4,strong,17,0,0,1,1,0,1,1.1894673109054565,0.7439691424369812,0.06120198220014572,0.6473024487495422,0.9333333333333333,0,0,1
random10_high_class_mean_01,True,goal,5,mild,5,0,0,1,1,1,1,0.5633074045181274,0.5122977495193481,0.09720294177532196,0.04911663010716438,0.9333333333333333,0,0,0
random10_high_class_mean_01,True,goal,6,clean,10,1,1,1,1,1,1,0.6371374130249023,0.46058711409568787,0.038338594138622284,0.20930232107639313,0.8113207547169812,0,0,0
random10_high_class_mean_01,True,goal,8,clean,19,1,0,0,1,0,1,0.3258214294910431,0.2169140726327896,0.045541469007730484,0.12820513546466827,0.7959183673469388,-1,1,1
random10_high_class_mean_01,True,long,0,clean,2,0,0,1,1,0,1,0.8453981876373291,0.5088611245155334,0.0,0.4359999895095825,0.9615384615384616,0,0,1
random10_high_class_mean_01,True,long,0,clean,15,0,0,1,1,0,1,0.8453981876373291,0.5088611245155334,0.0,0.4359999895095825,0.9615384615384616,0,0,1
random10_high_class_mean_01,True,long,1,clean,6,0,0,1,1,0,0,0.7811474204063416,0.658862292766571,0.0,0.17599999904632568,0.9615384615384616,0,0,0
random10_high_class_mean_01,True,long,2,clean,20,0,0,1,1,1,1,0.8787753582000732,0.8668623566627502,0.0,0.01600000075995922,0.9615384615384616,0,0,0
random10_high_class_mean_01,True,long,2,clean,22,0,0,1,1,1,1,0.8787753582000732,0.8668623566627502,0.0,0.01600000075995922,0.9615384615384616,0,0,0
random10_high_class_mean_01,True,long,4,strong,23,0,0,1,1,0,1,0.651599109172821,0.380010187625885,0.0,0.3401954770088196,0.9615384615384616,0,0,1
random10_high_class_mean_01,True,long,6,clean,0,0,0,1,1,1,1,0.8510527610778809,0.47843873500823975,0.0,0.5040000081062317,0.9615384615384616,0,0,0
random10_high_class_mean_01,True,object,2,clean,7,1,1,1,1,1,1,1.068676471710205,0.6810925006866455,0.0505441315472126,0.5645161271095276,0.8611111111111112,0,0,0
random10_high_class_mean_01,True,object,2,mild,13,1,1,1,1,1,1,0.4215207099914551,0.31946757435798645,0.04066823050379753,0.11141093075275421,0.8165137614678899,0,0,0
random10_high_class_mean_01,True,object,5,clean,9,1,1,1,1,0,0,0.19100549817085266,0.11997757107019424,0.026263786479830742,0.09756097197532654,0.8601398601398601,0,0,0
random10_high_class_mean_01,True,object,7,clean,16,1,1,1,1,0,1,1.1320443153381348,0.7224470376968384,0.06552407145500183,0.6470588445663452,0.8360655737704918,0,0,1
random10_high_class_mean_01,True,object,8,strong,11,0,0,1,1,1,0,0.16209274530410767,0.09997686743736267,0.022357452660799026,0.06701362133026123,0.9285714285714286,0,0,-1
random10_high_class_mean_01,True,object,8,mild,12,0,0,1,1,1,0,1.189902424812317,0.5736224055290222,0.06329047679901123,0.7829555869102478,0.9285714285714286,0,0,-1
random10_high_class_mean_01,True,spatial,1,clean,1,1,1,1,1,1,1,0.29827234148979187,0.20079782605171204,0.044917959719896317,0.09756097197532654,0.803921568627451,0,0,0
random10_high_class_mean_01,True,spatial,1,mild,4,1,1,0,1,0,1,0.3571348190307617,0.2929009199142456,0.05890730023384094,0.05427167937159538,0.7849462365591398,0,1,1
random10_high_class_mean_01,True,spatial,6,clean,8,1,1,1,1,1,1,0.314494788646698,0.2797873020172119,0.06440898776054382,0.024390242993831635,0.803921568627451,0,0,0
random10_high_class_mean_01,True,spatial,6,mild,21,1,1,1,0,1,0,0.16141167283058167,0.1445900946855545,0.053325217217206955,0.0,0.8076923076923077,0,-1,-1
random10_high_class_mean_01,True,spatial,7,clean,18,0,0,1,1,1,1,0.67230224609375,0.25727856159210205,0.05664057284593582,0.46000000834465027,0.9090909090909091,0,0,0
random10_high_class_mean_01,True,spatial,8,clean,3,1,1,1,1,1,1,0.28862687945365906,0.2142055183649063,0.05762157216668129,0.06976744532585144,0.8113207547169812,0,0,0
random10_high_class_mean_01,True,spatial,8,strong,14,0,0,1,1,1,1,0.8331854343414307,0.420613557100296,0.08611749857664108,0.4841082692146301,0.9090909090909091,0,0,0
random10_high_class_mean_02,True,goal,4,strong,17,0,0,1,1,0,0,0.9281380772590637,0.5406846404075623,0.05141008272767067,0.5297315120697021,0.9333333333333333,0,0,0
random10_high_class_mean_02,True,goal,5,mild,5,0,0,1,1,1,1,0.5778715014457703,0.5103998184204102,0.0905652567744255,0.06999887526035309,0.9333333333333333,0,0,0
random10_high_class_mean_02,True,goal,6,clean,10,1,0,1,1,1,1,0.5774710178375244,0.3338966369628906,0.03958930820226669,0.2947368323802948,0.8260869565217391,-1,0,0
random10_high_class_mean_02,True,goal,8,clean,19,1,1,0,1,0,1,0.09477046132087708,0.0861148089170456,0.02701447531580925,0.0,0.7959183673469388,0,1,1
