feature_set,suite,task_idx,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high
random10_high_class_mean_00,goal,4,1,0.0,0.0,0.0,1.0,1.0,0.0,1.3194891214370728,0.8091285824775696,0.06750495731830597,0.7719941139221191,0.0,0.0,0.0,0.0,1.3194891214370728,1.3194891214370728
random10_high_class_mean_00,goal,5,1,0.0,0.0,0.0,1.0,1.0,0.0,0.6381047368049622,0.5904062986373901,0.10350286960601807,0.042001888155937195,0.0,0.0,0.0,0.0,0.6381047368049622,0.6381047368049622
random10_high_class_mean_00,goal,6,1,1.0,1.0,0.0,1.0,1.0,0.0,0.506538450717926,0.22924795746803284,0.0360356904566288,0.31460675597190857,0.0,0.0,0.0,0.0,0.506538450717926,0.506538450717926
random10_high_class_mean_00,goal,8,1,1.0,1.0,0.0,0.0,1.0,1.0,0.1369282454252243,0.13045737147331238,0.028627930209040642,0.0,0.0,0.0,1.0,1.0,0.1369282454252243,0.1369282454252243
random10_high_class_mean_00,long,0,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0127712488174438,0.501909613609314,0.0,0.6600000262260437,0.0,0.0,0.0,0.0,1.0127712488174438,1.0127712488174438
random10_high_class_mean_00,long,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.724446713924408,0.6530611515045166,0.0,0.1080000028014183,0.0,0.0,0.0,0.0,0.724446713924408,0.724446713924408
random10_high_class_mean_00,long,2,2,0.0,0.0,0.0,1.0,1.0,0.0,0.8978449106216431,0.8855035901069641,0.0,0.01600000075995922,0.0,0.0,0.0,0.0,0.8978449106216431,0.8978449106216431
random10_high_class_mean_00,long,4,1,0.0,0.0,0.0,1.0,1.0,0.0,0.3919292688369751,0.3428947627544403,0.0,0.06232158839702606,0.0,0.0,0.0,0.0,0.3919292688369751,0.3919292688369751
random10_high_class_mean_00,long,6,1,0.0,0.0,0.0,1.0,1.0,0.0,0.4251859784126282,0.3294724225997925,0.0,0.1120000034570694,0.0,0.0,0.0,0.0,0.4251859784126282,0.4251859784126282
random10_high_class_mean_00,object,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.913042813539505,0.5404547303915024,0.04879596829414368,0.5233000963926315,0.0,0.0,0.0,0.0,0.7649742960929871,1.061111330986023
random10_high_class_mean_00,object,5,1,1.0,1.0,0.0,1.0,1.0,0.0,0.21491076052188873,0.11422056704759598,0.025951992720365524,0.13008129596710205,0.0,0.0,0.0,0.0,0.21491076052188873,0.21491076052188873
random10_high_class_mean_00,object,7,1,1.0,1.0,0.0,1.0,1.0,0.0,0.28626707196235657,0.16410769522190094,0.047068171203136444,0.13725490868091583,0.0,0.0,0.0,0.0,0.28626707196235657,0.28626707196235657
random10_high_class_mean_00,object,8,2,0.0,0.0,0.0,1.0,1.0,0.0,0.6570373177528381,0.2780677564442158,0.040341952815651894,0.43792181462049484,0.0,0.0,0.0,0.0,0.31391966342926025,1.000154972076416
random10_high_class_mean_00,spatial,1,2,1.0,1.0,0.0,0.5,1.0,0.5,0.2790476381778717,0.21030836552381516,0.05058147385716438,0.0616424884647131,0.0,0.0,0.0,1.0,0.2311045527458191,0.3269907236099243
random10_high_class_mean_00,spatial,6,2,1.0,1.0,0.0,1.0,1.0,0.0,0.1348976455628872,0.10012293979525566,0.03446464752778411,0.024390242993831635,0.0,0.0,0.0,0.0,0.037232451140880585,0.2325628399848938
random10_high_class_mean_00,spatial,7,1,0.0,0.0,0.0,1.0,1.0,0.0,0.7761022448539734,0.2540479600429535,0.0656822994351387,0.5600000023841858,0.0,0.0,0.0,0.0,0.7761022448539734,0.7761022448539734
random10_high_class_mean_00,spatial,8,2,0.5,0.5,0.0,1.0,1.0,0.0,0.806333526968956,0.31409864872694016,0.06650267168879509,0.6163749136030674,0.0,0.0,0.0,0.0,0.29039689898490906,1.322270154953003
random10_high_class_mean_01,goal,4,1,0.0,0.0,0.0,1.0,1.0,0.0,1.1894673109054565,0.7439691424369812,0.06120198220014572,0.6473024487495422,0.0,0.0,0.0,0.0,1.1894673109054565,1.1894673109054565
random10_high_class_mean_01,goal,5,1,0.0,0.0,0.0,1.0,1.0,0.0,0.5633074045181274,0.5122977495193481,0.09720294177532196,0.04911663010716438,0.0,0.0,0.0,0.0,0.5633074045181274,0.5633074045181274
random10_high_class_mean_01,goal,6,1,1.0,1.0,0.0,1.0,1.0,0.0,0.6371374130249023,0.46058711409568787,0.038338594138622284,0.20930232107639313,0.0,0.0,0.0,0.0,0.6371374130249023,0.6371374130249023
random10_high_class_mean_01,goal,8,1,1.0,0.0,-1.0,0.0,1.0,1.0,0.3258214294910431,0.2169140726327896,0.045541469007730484,0.12820513546466827,-1.0,-1.0,1.0,1.0,0.3258214294910431,0.3258214294910431
random10_high_class_mean_01,long,0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.8453981876373291,0.5088611245155334,0.0,0.4359999895095825,0.0,0.0,0.0,0.0,0.8453981876373291,0.8453981876373291
random10_high_class_mean_01,long,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.7811474204063416,0.658862292766571,0.0,0.17599999904632568,0.0,0.0,0.0,0.0,0.7811474204063416,0.7811474204063416
random10_high_class_mean_01,long,2,2,0.0,0.0,0.0,1.0,1.0,0.0,0.8787753582000732,0.8668623566627502,0.0,0.01600000075995922,0.0,0.0,0.0,0.0,0.8787753582000732,0.8787753582000732
random10_high_class_mean_01,long,4,1,0.0,0.0,0.0,1.0,1.0,0.0,0.651599109172821,0.380010187625885,0.0,0.3401954770088196,0.0,0.0,0.0,0.0,0.651599109172821,0.651599109172821
random10_high_class_mean_01,long,6,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8510527610778809,0.47843873500823975,0.0,0.5040000081062317,0.0,0.0,0.0,0.0,0.8510527610778809,0.8510527610778809
