condition,n_samples,mean_progress_logit_delta,median_progress_logit_delta,frac_progress_logit_increased,mean_abs_progress_logit_delta
top20_low_samples_to_high_class_mean,57,0.7628112939728098,0.7316046869817079,0.9649122807017544,0.772848511343572
top20_low_samples_to_low_class_mean,57,-0.004992973672541566,-0.03619958066364326,0.47368421052631576,0.3300344736152769
top20_all_samples_to_high_class_mean,113,0.4004011668829111,0.4225885634598212,0.7256637168141593,0.5466204150489121
random20_low_samples_to_high_class_mean_trial000,57,0.1838173129243122,0.16814452650149203,0.9473684210526315,0.19496243452053524
random20_low_samples_to_high_class_mean_trial001,57,0.039206769865431146,0.025270661663222782,0.7894736842105263,0.06841902916402014
random20_low_samples_to_high_class_mean_trial002,57,0.037998867482483246,0.036875479823306634,0.8070175438596491,0.06220864228182585
random20_low_samples_to_high_class_mean_trial003,57,0.17484244693879597,0.15987238385685232,0.9824561403508771,0.17701678174243143
random20_low_samples_to_high_class_mean_trial004,57,0.025152619186757957,0.009457944369444249,0.8947368421052632,0.028592270021734586
random20_low_samples_to_high_class_mean_trial005,57,0.04724193730611809,0.02173113854349573,0.7017543859649122,0.06509587807719679
random20_low_samples_to_high_class_mean_trial006,57,0.09047645174267233,0.0947322141363065,0.9298245614035088,0.1019173252953414
random20_low_samples_to_high_class_mean_trial007,57,0.05798585403200387,0.04208280093604433,0.8947368421052632,0.07012468075687057
random20_low_samples_to_high_class_mean_trial008,57,0.12183946061516719,0.10460485904188843,0.9298245614035088,0.13285581981648656
random20_low_samples_to_high_class_mean_trial009,57,0.05325744609311527,0.008713539944011472,0.9473684210526315,0.08071525460505741
random20_low_samples_to_high_class_mean_trial010,57,0.10165130967993026,0.05427042931518766,0.8771929824561403,0.10772255826205951
random20_low_samples_to_high_class_mean_trial011,57,0.18673488738262353,0.11637455044368927,0.9824561403508771,0.18914997705190087
random20_low_samples_to_high_class_mean_trial012,57,0.05969496409162854,0.04658378329226309,0.8771929824561403,0.07940680755491164
random20_low_samples_to_high_class_mean_trial013,57,0.08493068843612026,0.07359570187403186,0.7719298245614035,0.10937759932440254
random20_low_samples_to_high_class_mean_trial014,57,0.08967377152677503,0.028103742271726517,0.7192982456140351,0.113836194351139
random20_low_samples_to_high_class_mean_trial015,57,0.09312964037028013,0.07425615378604089,0.9298245614035088,0.09941668746703304
random20_low_samples_to_high_class_mean_trial016,57,0.1361022624489734,0.08922392699987736,0.7017543859649122,0.14332464900556863
random20_low_samples_to_high_class_mean_trial017,57,0.08372856510663332,0.07398157092844082,0.9298245614035088,0.0925073640254978
random20_low_samples_to_high_class_mean_trial018,57,0.0589032356998173,0.01610548710856552,0.7719298245614035,0.1350973624448637
random20_low_samples_to_high_class_mean_trial019,57,0.10345773448138063,0.04834732626738525,0.9824561403508771,0.10554168846956581
random20_low_samples_to_high_class_mean_trial020,57,0.10498606406858572,0.09752941762473544,0.9122807017543859,0.12607259602032825
random20_low_samples_to_high_class_mean_trial021,57,0.032006855234556875,0.034493403394797895,0.8771929824561403,0.03787616781707028
