rank,feature_idx,active_rate_all,active_rate_low,active_rate_high,mean_low_progress,mean_high_progress,mean_high_minus_low,direction_by_mean,reported_direction,composite_score
1,10609,0.3689839572192513,0.0855614973262032,0.6524064171122995,0.0012652094184575358,0.011282430926865721,0.010017221508408185,higher_in_high_progress,higher_in_low_progress,118.99459163830822
2,11471,0.3716577540106952,0.0748663101604278,0.6684491978609626,0.0007553228319069727,0.009252140228761039,0.008496817396854065,higher_in_high_progress,higher_in_low_progress,105.86599917069404
3,1972,0.35294117647058826,0.08021390374331551,0.6256684491978609,0.0008266499529986097,0.00894449008778133,0.008117840134782721,higher_in_high_progress,higher_in_low_progress,103.37338964511424
4,9215,0.3770053475935829,0.09090909090909091,0.6631016042780749,0.002109992591773758,0.014447520218072376,0.012337527626298618,higher_in_high_progress,higher_in_low_progress,93.5595187880694
5,11070,0.38235294117647056,0.0962566844919786,0.6684491978609626,0.001618000225507634,0.008838456151459116,0.007220455925951482,higher_in_high_progress,higher_in_low_progress,90.97012711258544
6,3154,0.3449197860962567,0.6577540106951871,0.03208556149732621,0.012406112146837718,0.0002127733519848647,-0.012193338794852853,higher_in_low_progress,higher_in_high_progress,88.79467349652552
7,11183,0.46524064171123,0.21390374331550802,0.7165775401069518,0.0014941907216381315,0.007229206167201272,0.005735015445563141,higher_in_high_progress,higher_in_low_progress,78.30158497526381
8,9998,0.3582887700534759,0.6737967914438503,0.0427807486631016,0.010496913358310137,0.00026112531540905187,-0.010235788042901085,higher_in_low_progress,higher_in_high_progress,70.26008750607684
9,15966,0.3609625668449198,0.0855614973262032,0.6363636363636364,0.000452858910094046,0.008885119432822474,0.008432260522728429,higher_in_high_progress,higher_in_low_progress,70.22469901913124
10,1528,0.35561497326203206,0.09090909090909091,0.6203208556149733,0.0008775469433655673,0.006074793060325095,0.005197246116959528,higher_in_high_progress,higher_in_low_progress,67.41667619891903
11,5981,0.3449197860962567,0.5561497326203209,0.13368983957219252,0.013164509639373016,0.0006296324125306754,-0.01253487722684234,higher_in_low_progress,higher_in_high_progress,67.10836741113557
12,15118,0.4037433155080214,0.18181818181818182,0.6256684491978609,0.0010745060943903675,0.006216161149768076,0.005141655055377709,higher_in_high_progress,higher_in_low_progress,65.66333752752438
13,14915,0.3315508021390374,0.09090909090909091,0.5721925133689839,0.0010312044280855045,0.005680670191030821,0.0046494657629453165,higher_in_high_progress,higher_in_low_progress,62.557997798049705
14,1457,0.32887700534759357,0.06951871657754011,0.5882352941176471,0.0004597413390974428,0.006325921712363517,0.005866180373266075,higher_in_high_progress,higher_in_low_progress,50.08650519031141
15,8150,0.27807486631016043,0.5240641711229946,0.03208556149732621,0.00572868603291635,0.0002577577114981749,-0.005470928321418176,higher_in_low_progress,higher_in_high_progress,48.92015964139664
16,13328,0.1443850267379679,0.20855614973262032,0.08021390374331551,0.007226100958445484,0.000859771277456675,-0.006366329680988808,higher_in_low_progress,higher_in_high_progress,47.80488611341474
17,15790,0.22994652406417113,0.4117647058823529,0.0481283422459893,0.006950396845206839,0.0003695259602830022,-0.006580870884923836,higher_in_low_progress,higher_in_high_progress,46.96186264977551
18,15872,0.3235294117647059,0.08021390374331551,0.5668449197860963,0.00047950957961539304,0.005843030515420693,0.0053635209358053,higher_in_high_progress,higher_in_low_progress,44.90504089336268
19,3212,0.14705882352941177,0.28342245989304815,0.0106951871657754,0.006082606293948324,0.00015505437146533528,-0.005927551922482989,higher_in_low_progress,higher_in_high_progress,41.62731633732732
20,15030,0.3983957219251337,0.1657754010695187,0.6310160427807486,0.0012608294893195536,0.006775799701687536,0.005514970212367983,higher_in_high_progress,higher_in_low_progress,6.566445591917308
