condition,mean_progress_logit_delta,mean_action_shift_l2,mean_translation_shift_l2,mean_rotation_shift_l2,mean_gripper_shift_abs
top20,0.7628113016704716,0.02736982196783013,0.023346829761752435,0.007204351289174513,0.009486692787785621
random20_trial000,0.19173294827035134,0.006903392791387964,0.006563272496429139,0.0013669641448295373,0.001306241743633509
random20_trial001,0.1789413528236561,0.007004412746408325,0.006441450295797088,0.001931946186132212,0.0011225029061273533
random20_trial002,0.08390571564935013,0.0028816220048470897,0.0026933417962084483,0.0004176500389368146,0.0007635834415690352
random20_trial003,0.07364980168009716,0.007397326239922397,0.006732623757093388,0.0023875603973912054,0.0012376198827467517
random20_trial004,0.0739294180395508,0.006839308828635249,0.0064886384666526555,0.0009770054265258999,0.0015223083749864293
random20_trial005,0.1606983929251842,0.007000802469190617,0.006309218938234794,0.0017880646214307736,0.001261254825158508
random20_trial006,0.12899448911758749,0.004927525665525142,0.004334232375865012,0.0014602320280666056,0.0014641914158227628
random20_trial007,0.07323393917023245,0.006642269506866104,0.006032820811270931,0.0018296622799752974,0.0012315586745109217
random20_trial008,0.15904578693598567,0.006024029746748806,0.005606499884155552,0.0010655364735387863,0.0013204190895330706
random20_trial009,0.07507383568701392,0.00527179374749651,0.004052005090163477,0.001210553006347259,0.002937107266067473
random20_trial010,0.07553885487734611,0.00558064606941063,0.005256161110988348,0.0008708877517082289,0.0008226219465935218
random20_trial011,0.1742285743399734,0.004137538359618494,0.002614545671185655,0.0010294707816748889,0.0028250099593686313
random20_trial012,0.12974362243071438,0.005075480943908466,0.004603076176010523,0.0009363145426196758,0.001636445365048061
random20_trial013,0.042222665371557125,0.0034204472246330236,0.002975685490261942,0.0006878176608219612,0.0012874538053312889
random20_trial014,0.04466139132321638,0.004127504861566223,0.0036911658939727645,0.0008230971492271297,0.0012044505921437203
random20_trial015,-0.05715728547967813,0.008765389595156442,0.007627733769836582,0.0015830439319715179,0.0035225423679058248
random20_trial016,0.03679562570072436,0.006760674281764323,0.00400370459549593,0.0018544156068664198,0.0036080119969232162
random20_trial017,-0.011166723411488114,0.007707473665128012,0.007046440208606338,0.0010992117262711592,0.002037552256245405
random20_trial018,0.09036719255469472,0.007820980694001575,0.006776230374254944,0.0014121036239359715,0.0033243104906505306
random20_trial019,0.069660063944625,0.0015511655178135745,0.001298662979903245,0.0003218045380946855,0.0005919749534006245
random20_trial020,0.13099255488238315,0.006273064238581202,0.005981444114577326,0.0013556036286519997,0.0011282729732397688
random20_trial021,0.07086966186459112,0.0033649766900500024,0.0031105229272841857,0.0005749440939413121,0.0007348322913944749
random20_trial022,0.017371070430273777,0.005265920438225494,0.004862024265176463,0.0009490311710713935,0.0013072768570201044
random20_trial023,-0.02405714201035696,0.008409093575759464,0.00813827652019066,0.0010097006610247181,0.001116173814897999
random20_trial024,0.054876487022663734,0.002386245270715547,0.00218481557572916,0.0004006320319334748,0.0007294232586226409
random20_trial025,0.13484077812553377,0.005836022236862874,0.005384093090340446,0.0012233984252709254,0.0012900108009708114
random20_trial026,0.07692757743041435,0.004814183006352042,0.004343327240527627,0.0013250440175469691,0.0011039540948263647
random20_trial027,0.17108567054013893,0.005916539226216293,0.004839638668932466,0.0017916252815134183,0.0021615007758471892
random20_trial028,0.018611543166915358,0.009046156391389802,0.008212612516957919,0.00287335950333839,0.0017854375319404049
random20_trial029,0.06561188157880271,0.005105054839911153,0.004527010324856198,0.0012340995755598817,0.001460054363173697
random20_trial030,0.05466575819530031,0.002191794836617533,0.00203735512545075,0.000381579605487325,0.0005442840058793001
random20_trial031,0.05907566216273808,0.0035515666533601944,0.003265469205473224,0.0009933198457621063,0.0007596225729815899
random20_trial032,0.08280239475726055,0.004105854131873675,0.003819121654627427,0.0007283649629451908,0.0010950605616868057
random20_trial033,0.05663660822401383,0.00255425472433273,0.00215353600461654,0.0003661464086835481,0.0011014320136396153
random20_trial034,0.03726831680946405,0.005524036109153522,0.0053200747317665616,0.000869554725778569,0.0005072563458340181
random20_trial035,0.12243712371297019,0.0030937049076727396,0.0025735481226336144,0.00048459243988961985,0.0014044701039100996
random20_trial036,0.037320427557536014,0.005466682576288276,0.004118269429297613,0.0018886644390756892,0.0027676026860341775
random20_trial037,0.07428326455812127,0.002502675512111584,0.0021490015347380557,0.0007383358601538628,0.0008573290277756495
random20_trial038,0.05991485652721127,0.0037634851575982426,0.003326788623645927,0.00046153742433958044,0.0015499067544681357
random20_trial039,0.03878514827766475,0.0034485789670358653,0.0026492471055358934,0.0004668351849800633,0.0020715872034566293
random20_trial040,0.050821768354411226,0.00673682390204599,0.0061658408785684,0.0012083723755071834,0.0019557509161895266
random20_trial041,0.062426917768298236,0.003159487719073615,0.0025403974446446304,0.0005736363602939395,0.001582791304886374
random20_trial042,0.06512494375521286,0.0022978514447623815,0.002158528232927341,0.00046860100794855807,0.0004892456530676913
random20_trial043,0.07176486945513572,0.005633700493334663,0.0050103444178431975,0.001255303634163322,0.001981127793089219
random20_trial044,0.16055555312543202,0.006292313220341344,0.005889297552831428,0.0009037953024198173,0.0015290508553414007
random20_trial045,0.059764208531510855,0.008007062973235888,0.007384020841126426,0.001245484774177109,0.0024375028526400742
random20_trial046,0.14996393591023455,0.004764014559900638,0.004312583774273205,0.0009845708207976854,0.0010966296381146635
random20_trial047,0.050787969876811494,0.0032596520720537697,0.002937473198294987,0.0007985807996310829,0.0009477694304747843
random20_trial048,0.11486919739509718,0.004965129755652043,0.004255596397273952,0.0009922817368541198,0.001971174621968606
random20_trial049,0.0855205781234783,0.005076877935992263,0.004879943231985497,0.0006779060993263738,0.0010249490811527727
random20_trial050,0.09964006988310752,0.0044338412479741525,0.003927313267613816,0.0007350151809444567,0.0017314841767762774
random20_trial051,0.09230470756608887,0.003501194280626945,0.0032986963095468823,0.000699463943805065,0.0006301658497936217
random20_trial052,0.12788082495044195,0.004855966389926815,0.004215787627708836,0.000837732811868546,0.0017236633736238912
random20_trial053,0.08121368772477794,0.005950465248961986,0.005461401014482214,0.0018157394451576315,0.00110122687936157
random20_trial054,0.10570780762551361,0.008520540893409083,0.007141071659635218,0.0012621225727577907,0.003963826628757446
random20_trial055,0.0857649115637239,0.004396747069381788,0.004048336171210594,0.001164310035894434,0.0010126806000242093
random20_trial056,0.06783134038592069,0.0031471648840826288,0.002939507624084129,0.00045795121477871885,0.0007329473106967942
random20_trial057,0.08302807343333206,0.006132102044852451,0.005214317222377204,0.0009327112343951161,0.0027140743552923658
random20_trial058,0.08046314826395752,0.012867242702806264,0.011586492921839091,0.0021068514111809208,0.004737683848148392
random20_trial059,0.15849294618599574,0.009565904170892571,0.00812207962540561,0.0019161172036902408,0.004251541957727796
random20_trial060,0.12071330423996175,0.002793623973422131,0.0023520379906410978,0.0005771823720213836,0.0011534693451808727
random20_trial061,0.18716971865885812,0.008500219638913245,0.007867267589725273,0.001996503695345879,0.0019733260801940147
random20_trial062,0.1504124307805353,0.009052588203001703,0.007200877017741108,0.002726561223319311,0.004519800588506832
random20_trial063,0.13459624876255702,0.0074701803936733455,0.006134236227458749,0.0018058861956481407,0.0035836930588330493
