step,stage,displacement_from_start,cumulative_motion_proxy,top5_feature_mean,top20_feature_mean,contact_force,action_translation_norm,any_safety_event,future_safety_event,case,episode_id,suite,episode_progress_norm
0,0.0,0.0,0.0,0.0,0.0,0.0856955,0.49398786,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
1,0.001669449081803005,0.0059710965,0.0017977393,0.0,0.0,1.4953147,0.8466208,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
2,0.00333889816360601,0.013767083,0.004164404,0.0,0.0,0.31245393,0.8507616,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
3,0.005008347245409015,0.022540724,0.006839626,0.0,0.0,0.33758122,0.8507616,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
4,0.00667779632721202,0.031754088,0.009632865,0.0,0.0,1.2131765,0.8467485,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
5,0.008347245409015025,0.041333605,0.012531065,0.0,0.0,0.3386492,0.8467485,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
6,0.01001669449081803,0.05128327,0.015535179,0.0,0.0,0.33865112,0.8467485,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
7,0.011686143572621035,0.061190564,0.018525671,0.0,0.0,0.3386512,0.84816813,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
8,0.01335559265442404,0.071261264,0.02156771,0.0,0.0,0.3386512,0.8467485,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
9,0.015025041736227046,0.081684865,0.024713907,0.0,0.0,0.3386512,0.8467485,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
10,0.01669449081803005,0.09223882,0.027926115,0.0,0.0,0.3386512,0.85572004,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
11,0.018363939899833055,0.10281997,0.031182991,0.0,0.0,0.3386512,0.85572004,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
12,0.02003338898163606,0.113531224,0.03442452,0.0,0.0,0.3386512,0.92002374,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
13,0.021702838063439065,0.12476132,0.03794482,0.0,0.0,0.3386512,0.92002374,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
14,0.02337228714524207,0.13559864,0.041236427,0.0,0.0,0.3386512,0.84829557,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
15,0.025041736227045076,0.1427378,0.043433394,0.0,0.0,0.3386512,0.3525118,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
16,0.02671118530884808,0.1507693,0.04592588,0.0,0.0,0.3386512,0.84829557,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
17,0.028380634390651086,0.15675154,0.04774241,0.0,0.0,0.3386512,0.16869806,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
18,0.03005008347245409,0.1642523,0.050025813,0.0,0.0,0.3386512,0.8503962,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
